psrc_zone_id	bkr_zone_id	percent
432	1257	0.01
433	1256	0.98
433	1340	0.02
434	1340	1
435	1339	0.05
435	1340	0.95
436	1340	1
437	1339	0.04
437	1340	0.96
438	1339	0.01
438	1340	0.99
439	1339	0.07
439	1340	0.93
440	1340	1
441	1339	0.02
441	1340	0.98
442	1340	0.97
442	1342	0.03
443	1339	0.01
443	1340	0.99
444	1339	0.03
444	1340	0.04
444	1342	0.93
445	1339	1
446	1339	1
447	1339	1
448	1339	0.97
448	1340	0.03
449	1339	0.84
449	1345	0.16
450	1339	1
451	1339	1
452	1339	1
453	1339	1
454	1339	1
455	1339	0.77
455	1340	0.23
456	1339	1
457	1339	1
458	1339	1
459	1339	1
460	1339	1
461	1339	1
462	1339	1
463	1339	1
464	1339	1
465	1339	1
466	1339	1
467	1248	0.02
467	1339	0.98
468	1339	1
469	1339	1
470	1339	1
471	1339	1
472	1339	1
473	1339	1
474	1339	1
475	1339	1
476	1256	0.29
476	1339	0.71
477	1256	0.88
477	1339	0.12
478	1248	0.19
478	1338	0.67
478	1339	0.14
479	1248	1
480	1248	0.23
480	1339	0.77
481	1339	1
482	1248	0.01
482	1339	0.99
483	1339	1
484	1339	1
485	1256	0.05
485	1339	0.95
486	1256	0.43
486	1339	0.57
487	1256	0.85
487	1339	0.15
488	1256	1
489	1256	1
490	1256	1
491	1256	1
492	1248	0.01
492	1250	0.05
492	1256	0.43
492	1339	0.51
493	1250	0.08
493	1256	0.92
494	1250	0.07
494	1256	0.93
495	1250	0.09
495	1256	0.91
496	1250	0.09
496	1256	0.91
497	1250	0.02
497	1253	0.01
497	1256	0.97
498	1248	0.95
498	1339	0.05
499	1248	1
500	1248	1
501	1248	0.95
501	1339	0.05
502	1248	0.99
502	1339	0.01
503	1248	0.22
503	1250	0.78
504	1250	1
505	1250	1
506	1250	1
507	1250	0.88
507	1251	0.06
507	1253	0.06
508	1248	1
509	1248	1
510	1248	1
511	1248	1
512	1248	1
513	1248	1
514	1248	0.21
514	1250	0.79
515	1250	1
516	1250	1
517	1250	0.94
517	1251	0.06
518	1248	0.95
518	1249	0.05
519	1248	0.95
519	1249	0.05
520	1248	0.95
520	1249	0.05
521	1248	0.94
521	1249	0.06
522	1248	0.96
522	1249	0.04
523	1248	0.96
523	1249	0.04
524	1248	0.2
524	1249	0.05
524	1250	0.75
525	1249	0.04
525	1250	0.96
526	1248	0.05
526	1249	0.95
527	1249	1
528	1249	1
529	1249	1
530	1249	1
531	1249	1
532	1249	1
533	1247	0.04
533	1248	0.05
533	1249	0.91
534	1247	0.04
534	1249	0.96
535	1249	1
536	1249	1
537	1249	1
538	1249	1
539	1249	1
540	1247	0.12
540	1249	0.88
541	1247	0.07
541	1249	0.93
542	1247	0.05
542	1249	0.95
543	1249	1
544	1249	1
545	1247	0.09
545	1249	0.91
546	1247	0.08
546	1249	0.92
547	1253	0.08
547	1256	0.92
548	1251	0.03
548	1253	0.96
548	1256	0.01
549	1256	1
550	1253	0.53
550	1256	0.47
551	1253	0.02
551	1256	0.98
552	1253	0.78
552	1256	0.22
553	1253	0.01
553	1254	0.98
553	1256	0.01
554	1254	1
555	1254	1
556	1254	1
557	1254	1
558	1254	0.01
558	1255	0.99
559	1255	1
560	1255	1
561	1255	1
562	1254	0.03
562	1255	0.97
563	1254	1
564	1254	1
565	1254	1
566	1253	0.02
566	1254	0.98
567	1253	1
568	1251	0.01
568	1253	0.99
569	1251	0.69
569	1253	0.31
570	1251	1
571	1250	0.06
571	1251	0.94
572	1249	0.03
572	1250	0.04
572	1251	0.92
572	1252	0.01
573	1251	1
574	1251	0.45
574	1253	0.55
575	1251	0.64
575	1253	0.36
576	1253	1
577	1249	0.05
577	1251	0.42
577	1252	0.53
578	1249	0.09
578	1252	0.91
579	1251	0.47
579	1252	0.53
580	1252	1
581	1251	0.33
581	1252	0.02
581	1253	0.65
582	1252	1
583	1252	0.61
583	1253	0.39
584	1252	0.02
584	1253	0.02
584	1254	0.96
585	1254	1
586	1254	1
587	1254	1
588	1254	0.03
588	1255	0.97
589	1255	1
590	1255	1
591	1255	1
592	1255	1
593	1255	1
594	1255	1
595	1255	1
596	1254	0.04
596	1255	0.96
597	1246	0.02
597	1254	0.02
597	1255	0.96
598	1254	1
599	1246	0.02
599	1254	0.98
600	1254	1
601	1246	0.02
601	1254	0.98
602	1254	1
603	1246	0.01
603	1254	0.99
604	1252	0.03
604	1254	0.97
605	1252	0.01
605	1254	0.99
606	1252	1
607	1252	1
608	1247	0.01
608	1252	0.99
609	1247	0.01
609	1249	0.05
609	1252	0.94
610	1247	1
611	1245	0.01
611	1247	0.99
612	1247	1
613	1245	0.01
613	1247	0.99
614	1247	1
615	1247	1
616	1246	0.97
616	1247	0.03
617	1246	1
618	1246	1
619	1246	0.99
619	1255	0.01
620	1246	0.99
620	1255	0.01
621	1246	0.99
621	1255	0.01
622	1246	1
623	1246	1
624	1246	1
625	1246	1
626	1246	0.98
626	1247	0.02
627	1247	1
628	1245	0.03
628	1247	0.97
629	1245	0.02
629	1247	0.98
630	1245	1
631	1245	1
632	1245	1
633	1245	1
634	1245	1
635	1245	1
636	1246	1
637	1246	1
638	1246	1
639	1246	1
640	1246	1
641	1244	0.99
641	1246	0.01
642	1244	0.98
642	1246	0.02
643	1244	1
644	1244	0.98
644	1246	0.02
645	1244	1
646	1244	1
647	1244	1
648	1244	1
649	1244	1
650	1245	1
651	1245	1
652	1245	1
653	1245	1
654	1245	1
655	1245	1
656	1245	1
657	1245	1
658	1244	1
659	1244	1
660	1244	1
661	1244	1
662	1244	1
663	1244	1
664	1244	1
665	1244	1
666	1244	1
667	1244	1
668	1244	1
669	1244	1
670	1245	1
671	1245	1
672	1245	1
673	1245	1
674	1245	0.01
674	1338	0.99
675	1338	1
676	1338	0.9
676	1339	0.01
676	1345	0.09
677	1338	1
678	1338	1
679	1338	1
680	1338	1
681	1338	1
682	1338	1
683	1338	1
684	1338	1
685	1338	1
686	1338	1
687	1338	1
688	1338	1
689	1338	1
690	1338	1
691	1338	1
692	1338	1
693	1338	1
694	1338	1
695	1338	1
696	1338	1
697	1338	1
698	1338	1
699	1338	1
700	1338	1
701	1338	1
702	1338	0.99
702	1355	0.01
703	1338	1
704	1245	1
705	1245	1
706	1245	1
707	1245	1
708	1244	1
709	1244	1
710	1244	1
711	1244	1
712	1244	1
713	1244	1
714	1244	1
715	1243	0.01
715	1244	0.99
716	1244	1
717	1244	1
718	1243	0.99
718	1244	0.01
719	1243	0.99
719	1244	0.01
720	1243	1
721	1243	1
722	1243	0.99
722	1244	0.01
723	1243	1
724	1243	0.99
724	1244	0.01
725	1245	1
726	1245	1
727	1245	0.99
727	1355	0.01
728	1245	1
729	1338	0.34
729	1355	0.66
730	1338	0.4
730	1355	0.6
731	1338	1
732	1338	1
733	1338	1
734	1338	1
735	1338	1
736	1338	1
737	1338	1
738	1338	1
739	1338	1
740	1338	0.99
740	1355	0.01
741	1338	0.66
741	1355	0.34
742	1338	0.03
742	1355	0.97
743	1355	1
744	1355	1
745	1355	1
746	1355	1
747	1355	1
748	1355	1
749	1338	0.01
749	1355	0.99
750	1355	1
751	1338	0.01
751	1355	0.99
752	1355	1
753	1355	1
754	1355	1
755	1355	1
756	1355	1
757	1355	1
758	1245	0.01
758	1355	0.99
759	1355	1
760	1355	1
761	1245	0.01
761	1355	0.99
762	1355	1
763	1245	0.02
763	1355	0.98
764	1243	1
765	1243	1
766	1243	1
767	1243	1
768	1243	1
769	1243	1
770	1243	1
771	1243	1
772	1243	1
773	1243	1
774	1243	1
775	1243	1
776	1243	1
777	1355	1
778	1355	1
779	1355	1
780	1355	1
781	1355	1
782	1355	1
783	1355	1
784	1355	1
785	1355	1
786	1355	1
787	1337	0.01
787	1355	0.99
788	1355	1
789	1355	1
790	1355	1
791	1355	1
792	1355	1
793	1355	1
794	1355	1
795	1355	1
796	1355	1
797	1355	1
798	1355	1
799	1355	1
800	1355	1
801	1355	1
802	1355	1
803	1355	1
804	1355	1
805	1355	1
806	1335	0.1
806	1355	0.9
807	1335	0.11
807	1355	0.89
808	1335	0.01
808	1355	0.99
809	1355	1
810	1241	0.04
810	1243	0.96
811	1241	0.01
811	1243	0.99
812	1241	0.02
812	1243	0.98
813	1241	0.02
813	1243	0.98
814	1241	0.01
814	1243	0.99
815	1243	1
816	1241	1
817	1241	1
818	1241	1
819	1241	1
820	1241	1
821	1241	0.99
821	1243	0.01
822	1241	1
823	1241	1
824	1335	0.4
824	1355	0.6
825	1335	0.12
825	1355	0.88
826	1355	1
827	1335	0.01
827	1355	0.99
828	1335	0.01
828	1336	0.66
828	1355	0.33
829	1355	1
830	1355	1
831	1355	1
832	1355	1
833	1355	1
834	1355	1
835	1337	0.03
835	1355	0.97
836	1355	1
837	1355	1
838	1355	1
839	1355	1
840	1355	1
841	1355	1
842	1335	1
843	1241	1
844	1241	1
845	1241	1
846	1241	1
847	1241	1
848	1241	1
849	1241	1
850	1241	1
851	1241	1
852	1241	1
853	1241	1
854	1241	1
855	1241	1
856	1240	0.01
856	1241	0.99
857	1240	0.03
857	1241	0.97
858	1240	0.05
858	1241	0.95
859	1336	0.97
859	1355	0.03
860	1336	1
861	1336	0.85
861	1355	0.15
862	1336	1
863	1336	0.98
863	1355	0.02
864	1336	1
865	1336	0.99
865	1355	0.01
866	1336	1
867	1335	0.06
867	1336	0.94
868	1335	0.02
868	1336	0.98
869	1335	0.99
869	1336	0.01
870	1335	0.97
870	1336	0.01
870	1355	0.02
871	1335	0.95
871	1355	0.05
872	1335	1
873	1335	0.97
873	1355	0.03
874	1335	1
875	1238	0.62
875	1241	0.38
876	1241	1
877	1241	1
878	1335	1
879	1335	1
880	1335	1
881	1335	1
882	1335	1
883	1335	1
884	1335	1
885	1335	1
886	1335	0.98
886	1336	0.02
887	1335	0.04
887	1336	0.96
888	1336	1
889	1336	1
890	1336	1
891	1336	0.98
891	1355	0.02
892	1336	0.99
892	1355	0.01
893	1336	1
894	1336	1
895	1336	1
896	1336	1
897	1335	0.99
897	1336	0.01
898	1335	1
899	1335	1
900	1335	1
901	1335	1
902	1335	1
903	1335	1
904	1333	0.06
904	1335	0.94
905	1333	0.93
905	1335	0.07
906	1333	1
907	1333	1
908	1240	0.08
908	1241	0.01
908	1333	0.01
908	1335	0.9
909	1240	1
910	1240	0.97
910	1241	0.03
911	1240	1
912	1240	1
913	1239	0.05
913	1240	0.95
914	1238	0.11
914	1239	0.89
915	1238	0.04
915	1239	0.96
916	1239	0.02
916	1240	0.98
917	1240	1
918	1240	1
919	1239	0.03
919	1240	0.97
920	1240	0.04
920	1333	0.96
921	1333	1
922	1333	0.98
922	1335	0.02
923	1333	1
924	1333	1
925	1333	1
926	1333	1
927	1333	0.99
927	1335	0.01
928	1333	1
929	1333	0.97
929	1335	0.03
930	1333	1
931	1333	0.99
931	1335	0.01
932	1333	1
933	1333	0.01
933	1335	0.99
934	1335	0.99
934	1336	0.01
935	1335	0.02
935	1336	0.98
936	1336	1
937	1336	1
938	1336	1
939	1336	1
940	1334	0.01
940	1336	0.99
941	1334	0.9
941	1336	0.1
942	1336	1
943	1334	0.3
943	1336	0.7
944	1334	0.16
944	1335	0.05
944	1336	0.79
945	1334	0.1
945	1335	0.9
946	1334	0.27
946	1335	0.73
947	1333	0.03
947	1334	0.19
947	1335	0.78
948	1333	0.37
948	1334	0.63
949	1333	0.31
949	1334	0.69
950	1333	0.01
950	1334	0.99
951	1333	0.49
951	1334	0.51
952	1333	1
953	1333	1
954	1333	1
955	1239	0.03
955	1333	0.97
956	1239	0.02
956	1240	0.98
957	1237	0.01
957	1239	0.96
957	1240	0.03
958	1239	1
959	1239	1
960	1239	1
961	1237	0.01
961	1239	0.99
962	1237	0.96
962	1239	0.04
963	1239	1
964	1239	1
965	1329	0.02
965	1330	0.98
966	1329	0.13
966	1330	0.87
967	1330	1
968	1330	1
969	1330	1
970	1330	0.76
970	1333	0.24
971	1333	1
972	1333	1
973	1333	1
974	1333	1
975	1333	1
976	1333	1
977	1333	1
978	1333	1
979	1333	1
980	1333	0.99
980	1334	0.01
981	1333	1
982	1333	0.41
982	1334	0.59
983	1333	0.01
983	1334	0.99
984	1334	1
985	1334	1
986	1334	1
987	1334	1
988	1334	1
989	1334	1
990	1334	1
991	1334	1
992	1334	1
993	1334	1
994	1334	1
995	1334	1
996	1334	1
997	1334	1
998	1334	1
999	1334	1
1000	1334	0.33
1000	1336	0.67
1001	1334	1
1002	1334	1
1003	1334	1
1004	1334	1
1005	1334	1
1006	1334	1
1007	1334	1
1008	1334	1
1009	1333	0.11
1009	1334	0.89
1010	1333	0.12
1010	1334	0.88
1011	1333	1
1012	1333	1
1013	1333	1
1014	1333	1
1015	1333	1
1016	1333	1
1017	1327	0.06
1017	1333	0.94
1018	1327	1
1019	1327	0.99
1019	1330	0.01
1020	1327	1
1021	1327	0.99
1021	1330	0.01
1022	1327	1
1023	1327	1
1024	1327	1
1025	1327	1
1026	1327	0.99
1026	1333	0.01
1027	1333	1
1028	1332	0.01
1028	1333	0.99
1029	1333	1
1030	1333	1
1031	1333	0.02
1031	1334	0.98
1032	1334	1
1033	1334	1
1034	1334	1
1035	1334	1
1036	1332	0.13
1036	1334	0.87
1037	1332	1
1038	1332	0.97
1038	1334	0.03
1039	1332	1
1040	1332	0.99
1040	1334	0.01
1041	1332	1
1042	1332	1
1043	1332	0.98
1043	1333	0.02
1044	1327	0.04
1044	1332	0.64
1044	1333	0.32
1045	1327	1
1046	1327	1
1047	1327	1
1048	1327	1
1049	1327	1
1050	1327	1
1051	1327	1
1052	1327	1
1053	1327	1
1054	1325	0.98
1054	1327	0.02
1055	1327	0.98
1055	1332	0.02
1056	1325	0.13
1056	1327	0.05
1056	1332	0.82
1057	1332	1
1058	1325	0.01
1058	1332	0.99
1059	1332	1
1060	1332	1
1061	1332	1
1062	1332	1
1063	1332	1
1064	1332	1
1065	1332	1
1066	1332	1
1067	1332	1
1068	1331	0.38
1068	1332	0.62
1069	1331	1
1070	1331	0.97
1070	1332	0.03
1071	1325	0.04
1071	1331	0.94
1071	1332	0.02
1072	1325	0.99
1072	1332	0.01
1073	1325	0.94
1073	1332	0.06
1074	1325	1
1075	1325	1
1076	1325	1
1077	1325	1
1078	1325	0.07
1078	1331	0.93
1079	1325	0.06
1079	1331	0.94
1080	1331	1
1081	1331	1
1082	1331	1
1083	1331	1
1084	1331	1
1085	1331	1
1086	1331	1
1087	1331	1
1088	1331	1
1089	1331	1
1090	1331	1
1091	1331	1
1092	1331	1
1093	1325	0.07
1093	1331	0.93
1094	1325	1
1095	1325	1
1096	1325	1
1097	1325	1
1098	1325	1
1099	1325	1
1100	1325	1
1101	1325	1
1102	1325	0.98
1102	1331	0.02
1103	1324	0.01
1103	1331	0.99
1104	1331	1
1105	1324	0.01
1105	1331	0.99
1106	1324	0.02
1106	1331	0.98
1107	1324	0.02
1107	1331	0.98
1108	1324	0.03
1108	1331	0.97
1109	1324	0.99
1109	1331	0.01
1110	1324	1
1111	1324	1
1112	1324	0.98
1112	1352	0.02
1113	1324	0.92
1113	1352	0.08
1114	1324	1
1115	1324	1
1116	1324	1
1117	1324	1
1118	1324	1
1119	1324	0.97
1119	1331	0.03
1120	1324	1
1121	1324	1
1122	1324	1
1123	1324	1
1124	1324	1
1125	1324	0.99
1125	1331	0.01
1126	1324	1
1127	1324	0.06
1127	1325	0.94
1128	1325	1
1129	1325	1
1130	1325	1
1131	1325	1
1132	1325	1
1133	1324	0.02
1133	1325	0.98
1134	1324	1
1135	1324	1
1136	1324	1
1137	1324	1
1138	1324	1
1139	1324	1
1140	1324	1
1141	1324	1
1142	1324	1
1143	1324	0.97
1143	1352	0.03
1144	1324	0.88
1144	1352	0.12
1145	1324	0.91
1145	1352	0.09
1146	1324	0.97
1146	1352	0.03
1147	1324	0.98
1147	1325	0.02
1148	1320	0.04
1148	1324	0.91
1148	1325	0.05
1149	1320	0.03
1149	1325	0.97
1150	1320	0.11
1150	1325	0.89
1151	1325	1
1152	1325	1
1153	1325	1
1154	1325	1
1155	1320	0.06
1155	1325	0.94
1156	1320	0.05
1156	1325	0.95
1157	1320	0.04
1157	1325	0.96
1158	1325	0.97
1158	1353	0.03
1159	1317	0.01
1159	1325	0.98
1159	1353	0.01
1160	1325	1
1161	1325	1
1162	1325	1
1163	1325	1
1164	1325	1
1165	1325	1
1166	1325	1
1167	1325	1
1168	1325	1
1169	1325	1
1170	1325	1
1171	1317	0.95
1171	1325	0.02
1171	1353	0.03
1172	1325	1
1173	1325	1
1174	1325	1
1175	1325	1
1176	1325	1
1177	1325	1
1178	1325	1
1179	1325	1
1180	1325	1
1181	1325	1
1182	1325	1
1183	1325	1
1184	1325	1
1185	1317	0.06
1185	1325	0.94
1186	1325	1
1187	1317	0.98
1187	1325	0.02
1188	1317	0.92
1188	1325	0.08
1189	1317	1
1190	1317	1
1191	1317	1
1192	1325	1
1193	1325	1
1194	1325	1
1195	1325	1
1196	1325	1
1197	1317	0.03
1197	1325	0.97
1198	1325	1
1199	1325	1
1200	1317	0.05
1200	1325	0.95
1201	1317	0.92
1201	1325	0.08
1202	1325	1
1203	1317	0.98
1203	1325	0.02
1204	1325	1
1205	1325	1
1206	1317	0.99
1206	1325	0.01
1207	1325	1
1208	1325	1
1209	1317	0.99
1209	1325	0.01
1210	1326	1
1211	1326	1
1212	1326	1
1213	1325	0.99
1213	1326	0.01
1214	1325	1
1215	1325	1
1216	1325	1
1217	1325	1
1218	1325	1
1219	1325	1
1220	1325	1
1221	1325	1
1222	1325	1
1223	1325	1
1224	1325	0.01
1224	1327	0.99
1225	1325	0.01
1225	1327	0.99
1226	1325	1
1227	1327	1
1228	1325	1
1229	1326	1
1230	1325	0.03
1230	1326	0.97
1231	1326	1
1232	1326	1
1233	1326	1
1234	1326	1
1235	1316	0.97
1235	1326	0.03
1236	1316	0.03
1236	1326	0.97
1237	1326	1
1238	1326	1
1239	1326	1
1240	1326	1
1241	1326	1
1242	1326	1
1243	1326	1
1244	1327	1
1245	1327	1
1246	1327	1
1247	1325	0.01
1247	1327	0.99
1248	1327	1
1249	1325	1
1250	1325	0.01
1250	1327	0.99
1251	1325	0.05
1251	1327	0.95
1252	1327	1
1253	1325	1
1254	1325	1
1255	1325	0.61
1255	1327	0.39
1256	1327	1
1257	1325	1
1258	1325	1
1259	1325	0.69
1259	1327	0.31
1260	1327	1
1261	1327	1
1262	1327	1
1263	1327	1
1264	1327	1
1265	1327	1
1266	1327	1
1267	1327	1
1268	1327	1
1269	1315	0.99
1269	1327	0.01
1270	1315	0.98
1270	1326	0.02
1271	1315	1
