NodeID,ZoneID,XCoord,YCoord,Description,EMME_Description,2023_Capacity,Project_Year,New_Spaces,Imp_Capacity,Source
1453,1453,1268824,289663,United Presbyterian Church of Seattle/Edmonds Lutheran Church,KRNP,71,,,71,
1454,1454,1221469,300335.1,George's Corner P&R,CCRN,225,,,225,
1455,1455,1192846,282321.5,North Viking P&R,CNAZ,265,,,265,
1456,1456,1220643,236189.8,Bethany Lutherand Church,BIAL,80,,,80,
1457,1457,1173080,192510,Belfair Assembly of God Church,FGOS,40,,,40,
1458,1458,1225300,188795,Harper Church,HEVA,462,,,462,
1459,1459,1198455,176409.7,Mullenix/SR 16 P&R,MLNX,92,,,92,
1460,1460,1189915,38790.13,DuPont P&R,768,126,,,126,
1461,1461,1219997,93314.02,TCC Transit Center P&R,TCC ,95,,,95,
1462,1462,1290277,313959.9,Ash Way P&R,SWMP,1019,,,1019,
1463,1463,1304167,66563.91,Bonney Lake P&R,772,356,,,356,
1464,1464,1280696,172940.2,Tukwila International Blvd Station P&R,775,600,,,600,
1465,1465,1273948,62259.24,South Hill P&R,776,354,,,354,
1466,1466,1236334,79784.26,South Tacoma East I ,TCE2,33,,,33,
1467,1467,1273960,268615,5th Ave NE/NE 133rd St P&R,NJKP,46,,,46,
1468,1468,1348427,205068.8,Issaquah Highlands P&R,ISHL,1010,,,1010,
1469,1469,1329202,367458,Lake Stevens P&R,780,207,,,207,
1470,1470,1272630,212610,Spokane St/Airport Way P&R,SPAP,25,,,25,
1471,1471,1367595,194295,Preston P&R,PRES,53,,,53,
1472,1472,1228710,295862.9,Bayside Community Church,BAYS,210,,,210,
1473,1473,1261667,111168.2,Twin Lake P&R,TWLK,600,,,600,
1474,1474,1191791,212046.4,Gateway Center P&R,BREM,104,,,104,
1475,1475,1343575,215003.1,South Sammamish P&R,SSAM,265,,,265,
1476,1476,1291853,171197.3,Tukwila Sounder Station P&R,TKST,390,,,390,
1477,1477,1306344,358513.5,Everett Station P&R,EVCR,1067,,,1067,
1478,1478,1289785,76270.15,Sumner Station P&R,805,302,2025,500,802,
1479,1479,1293739,143512.8,Kent Station P&R,KENT,996,2027,534,1530,Sound Transit Parking Expansion
1480,1480,1293580,115258.4,Auburn Station P&R,AUBG,636,2027,550,1186,Sound Transit Project Plan
1481,1481,1306420,250560,Kirkland Way P&R,715,20,,,20,
1482,1482,1276262,290293.6,Mountlake Terrance Transit Center P&R,MLKT,890,,,890,No new Link Parking
1483,1483,1276712,75171.78,Puyallup Station P&R,820,1044,,,1044,
1484,1484,1286560,112885,Peasley Canyon Road/West Valley Highway,PSCY,54,,,54,
1485,1485,1297821,177555.8,Renton Fred Meyer,RENE,117,,,117,
1486,1486,1320083,237630.9,Redmond Technology Station P&R,OVTC,0,2024,300,300,Sound Transit New Link Station Parking
1487,1487,1188299,214460.6,Bremerton United Methodist Church,774,53,,,53,
1488,1488,1310728,390514.5,Marysville Cedar and Grove,841,222,,,222,
1489,1489,1274669,133034.8,Redondo Heights P&R,ROND,697,,,697,
1490,1490,1306230,113010,SR 18/Aubrun ,18AB,26,,,26,
1491,1491,1231385,294865.3,Kingston Ferry Terminal,KNGS,73,,,73,
1492,1492,1228706,191045.4,Southworth Ferry Terminal,STHW,340,,,340,
1493,1493,1308682,423664,I 5/SR 531 P&R,SMKY,62,,,62,
1494,1494,1301460,330395,South Everett P&R,715,399,,,399,
1495,1495,1303971,197378,NE 44th Street P&R,1495,0,2024,200,200,Sound Transit Stride Parking Lot
1496,1496,1296740,229858.4,Closed,1496,0,,,0,
1497,1497,1311641,230763.1,130th Ave NE P&R,130P,0,2024,300,300,Sound Transit New Link Station Parking
1498,1498,1326185,245979.5,Southeast Redmond Station P&R,MARY,0,2024,1400,1400,Sound Transit New Link Station Parking
1499,1499,1274256,282167,Shoreline/185th Link Station P&R,185P,0,2024,500,500,Sound Transit New Link Station Parking
1500,1500,1278076,157419.8,Angle Lake Link Station P&R,ANGL,1160,,,1160,
1501,1501,1285166,278370.1,Lake Forest Park Stride P&R,LKFP,0,2030,300,300,Sound Transit Stride Parking Garage
