TAZ,OldDistric,County,New DistrictName,Region_old,Region
230,9,King,East Side,BKR,BKR
231,9,King,East Side,BKR,BKR
232,9,King,East Side,BKR,BKR
233,9,King,East Side,BKR,BKR
234,9,King,East Side,BKR,BKR
235,9,King,East Side,BKR,BKR
236,8,King,East Side,BKR,BKR
237,8,King,East Side,BKR,BKR
238,8,King,East Side,BKR,BKR
239,8,King,East Side,BKR,BKR
240,8,King,East Side,BKR,BKR
241,8,King,East Side,BKR,BKR
242,8,King,East Side,BKR,BKR
243,8,King,East Side,BKR,BKR
244,8,King,East Side,BKR,BKR
245,8,King,East Side,BKR,BKR
246,8,King,East Side,BKR,BKR
247,9,King,East Side,BKR,BKR
248,9,King,East Side,BKR,BKR
249,9,King,East Side,BKR,BKR
250,9,King,East Side,BKR,BKR
251,8,King,East Side,BKR,BKR
252,8,King,East Side,BKR,BKR
253,8,King,East Side,BKR,BKR
254,8,King,East Side,BKR,BKR
255,8,King,East Side,BKR,BKR
256,8,King,East Side,BKR,BKR
257,8,King,East Side,BKR,BKR
258,8,King,East Side,BKR,BKR
259,8,King,East Side,BKR,BKR
260,8,King,East Side,BKR,BKR
261,8,King,East Side,BKR,BKR
262,8,King,East Side,BKR,BKR
263,8,King,East Side,BKR,BKR
264,8,King,East Side,BKR,BKR
265,8,King,East Side,BKR,BKR
266,8,King,East Side,BKR,BKR
267,8,King,East Side,BKR,BKR
268,8,King,East Side,BKR,BKR
269,8,King,East Side,BKR,BKR
270,8,King,East Side,BKR,BKR
271,8,King,East Side,BKR,BKR
272,8,King,East Side,BKR,BKR
273,8,King,East Side,BKR,BKR
274,8,King,East Side,BKR,BKR
275,8,King,East Side,BKR,BKR
276,8,King,East Side,BKR,BKR
277,8,King,East Side,BKR,BKR
278,8,King,East Side,BKR,BKR
279,8,King,East Side,BKR,BKR
280,8,King,East Side,BKR,BKR
281,8,King,East Side,BKR,BKR
282,8,King,East Side,BKR,BKR
283,8,King,East Side,BKR,BKR
284,8,King,East Side,BKR,BKR
285,8,King,East Side,BKR,BKR
286,8,King,East Side,BKR,BKR
287,8,King,East Side,BKR,BKR
288,8,King,East Side,BKR,BKR
289,8,King,East Side,BKR,BKR
290,8,King,East Side,BKR,BKR
291,8,King,East Side,BKR,BKR
292,8,King,East Side,BKR,BKR
293,8,King,East Side,BKR,BKR
294,8,King,East Side,BKR,BKR
295,8,King,East Side,BKR,BKR
296,8,King,East Side,BKR,BKR
297,8,King,East Side,BKR,BKR
298,8,King,East Side,BKR,BKR
299,8,King,East Side,BKR,BKR
300,8,King,East Side,BKR,BKR
301,8,King,East Side,BKR,BKR
302,8,King,East Side,BKR,BKR
303,8,King,East Side,BKR,BKR
304,8,King,East Side,BKR,BKR
305,8,King,East Side,BKR,BKR
306,8,King,East Side,BKR,BKR
307,8,King,East Side,BKR,BKR
308,8,King,East Side,BKR,BKR
309,8,King,East Side,BKR,BKR
310,8,King,East Side,BKR,BKR
311,8,King,East Side,BKR,BKR
312,8,King,East Side,BKR,BKR
313,8,King,East Side,BKR,BKR
314,8,King,East Side,BKR,BKR
315,8,King,East Side,BKR,BKR
316,8,King,East Side,BKR,BKR
317,8,King,East Side,BKR,BKR
318,8,King,East Side,BKR,BKR
319,8,King,East Side,BKR,BKR
320,8,King,East Side,BKR,BKR
321,8,King,East Side,BKR,BKR
322,8,King,East Side,BKR,BKR
323,8,King,East Side,BKR,BKR
324,8,King,East Side,BKR,BKR
325,8,King,East Side,BKR,BKR
326,8,King,East Side,BKR,BKR
327,8,King,East Side,BKR,BKR
328,8,King,East Side,BKR,BKR
329,8,King,East Side,BKR,BKR
330,8,King,East Side,BKR,BKR
331,8,King,East Side,BKR,BKR
332,8,King,East Side,BKR,BKR
333,8,King,East Side,BKR,BKR
334,8,King,East Side,BKR,BKR
335,8,King,East Side,BKR,BKR
336,8,King,East Side,BKR,BKR
337,8,King,East Side,BKR,BKR
338,8,King,East Side,BKR,BKR
339,8,King,East Side,BKR,BKR
340,8,King,East Side,BKR,BKR
341,8,King,East Side,BKR,BKR
342,8,King,East Side,BKR,BKR
343,8,King,East Side,BKR,BKR
344,8,King,East Side,BKR,BKR
345,8,King,East Side,BKR,BKR
346,8,King,East Side,BKR,BKR
347,8,King,East Side,BKR,BKR
348,8,King,East Side,BKR,BKR
349,8,King,East Side,BKR,BKR
350,8,King,East Side,BKR,BKR
351,8,King,East Side,BKR,BKR
352,8,King,East Side,BKR,BKR
353,8,King,East Side,BKR,BKR
354,8,King,East Side,BKR,BKR
355,8,King,East Side,BKR,BKR
356,8,King,East Side,BKR,BKR
357,8,King,East Side,BKR,BKR
358,8,King,East Side,BKR,BKR
359,8,King,East Side,BKR,BKR
360,8,King,East Side,BKR,BKR
361,8,King,East Side,BKR,BKR
362,8,King,East Side,BKR,BKR
363,8,King,East Side,BKR,BKR
364,8,King,East Side,BKR,BKR
365,8,King,East Side,BKR,BKR
366,8,King,East Side,BKR,BKR
367,8,King,East Side,BKR,BKR
368,8,King,East Side,BKR,BKR
369,8,King,East Side,BKR,BKR
370,8,King,East Side,BKR,BKR
371,8,King,East Side,BKR,BKR
372,8,King,East Side,BKR,BKR
373,8,King,East Side,BKR,BKR
374,8,King,East Side,BKR,BKR
375,8,King,East Side,BKR,BKR
376,8,King,East Side,BKR,BKR
377,8,King,East Side,BKR,BKR
378,8,King,East Side,BKR,BKR
379,8,King,East Side,BKR,BKR
380,8,King,East Side,BKR,BKR
381,8,King,East Side,BKR,BKR
382,8,King,East Side,BKR,BKR
383,8,King,East Side,BKR,BKR
384,8,King,East Side,BKR,BKR
385,8,King,East Side,BKR,BKR
386,8,King,East Side,BKR,BKR
387,8,King,East Side,BKR,BKR
388,8,King,East Side,BKR,BKR
389,8,King,East Side,BKR,BKR
390,8,King,East Side,BKR,BKR
391,8,King,East Side,BKR,BKR
392,8,King,East Side,BKR,BKR
393,8,King,East Side,BKR,BKR
394,8,King,East Side,BKR,BKR
395,8,King,East Side,BKR,BKR
396,8,King,East Side,BKR,BKR
397,8,King,East Side,BKR,BKR
398,8,King,East Side,BKR,BKR
399,8,King,East Side,BKR,BKR
400,8,King,East Side,BKR,BKR
401,8,King,East Side,BKR,BKR
402,8,King,East Side,BKR,BKR
403,8,King,East Side,BKR,BKR
404,8,King,East Side,BKR,BKR
405,8,King,East Side,BKR,BKR
406,8,King,East Side,BKR,BKR
407,8,King,East Side,BKR,BKR
408,8,King,East Side,BKR,BKR
409,8,King,East Side,BKR,BKR
410,8,King,East Side,BKR,BKR
411,8,King,East Side,BKR,BKR
412,8,King,East Side,BKR,BKR
413,8,King,East Side,BKR,BKR
414,8,King,East Side,BKR,BKR
415,8,King,East Side,BKR,BKR
416,8,King,East Side,BKR,BKR
417,8,King,East Side,BKR,BKR
418,8,King,East Side,BKR,BKR
419,8,King,East Side,BKR,BKR
420,8,King,East Side,BKR,BKR
421,8,King,East Side,BKR,BKR
422,8,King,East Side,BKR,BKR
423,8,King,East Side,BKR,BKR
424,8,King,East Side,BKR,BKR
425,8,King,East Side,BKR,BKR
426,8,King,East Side,BKR,BKR
427,8,King,East Side,BKR,BKR
428,8,King,East Side,BKR,BKR
429,8,King,East Side,BKR,BKR
430,8,King,East Side,BKR,BKR
431,8,King,East Side,BKR,BKR
432,8,King,East Side,BKR,BKR
433,8,King,East Side,BKR,BKR
434,8,King,East Side,BKR,BKR
435,8,King,East Side,BKR,BKR
436,8,King,East Side,BKR,BKR
437,8,King,East Side,BKR,BKR
438,8,King,East Side,BKR,BKR
439,8,King,East Side,BKR,BKR
440,8,King,East Side,BKR,BKR
441,8,King,East Side,BKR,BKR
442,8,King,East Side,BKR,BKR
443,8,King,East Side,BKR,BKR
444,8,King,East Side,BKR,BKR
445,8,King,East Side,BKR,BKR
446,8,King,East Side,BKR,BKR
447,8,King,East Side,BKR,BKR
448,8,King,East Side,BKR,BKR
449,8,King,East Side,BKR,BKR
450,8,King,East Side,BKR,BKR
451,8,King,East Side,BKR,BKR
452,8,King,East Side,BKR,BKR
453,8,King,East Side,BKR,BKR
454,8,King,East Side,BKR,BKR
455,8,King,East Side,BKR,BKR
456,8,King,East Side,BKR,BKR
457,8,King,East Side,BKR,BKR
458,8,King,East Side,BKR,BKR
459,8,King,East Side,BKR,BKR
460,8,King,East Side,BKR,BKR
461,8,King,East Side,BKR,BKR
462,8,King,East Side,BKR,BKR
463,8,King,East Side,BKR,BKR
464,8,King,East Side,BKR,BKR
465,8,King,East Side,BKR,BKR
466,8,King,East Side,BKR,BKR
467,8,King,East Side,BKR,BKR
468,8,King,East Side,BKR,BKR
469,8,King,East Side,BKR,BKR
470,8,King,East Side,BKR,BKR
471,8,King,East Side,BKR,BKR
472,8,King,East Side,BKR,BKR
473,8,King,East Side,BKR,BKR
474,8,King,East Side,BKR,BKR
475,8,King,East Side,BKR,BKR
476,8,King,East Side,BKR,BKR
477,8,King,East Side,BKR,BKR
478,8,King,East Side,BKR,BKR
479,8,King,East Side,BKR,BKR
480,8,King,East Side,BKR,BKR
481,8,King,East Side,BKR,BKR
482,8,King,East Side,BKR,BKR
483,8,King,East Side,BKR,BKR
484,8,King,East Side,BKR,BKR
485,8,King,East Side,BKR,BKR
486,8,King,East Side,BKR,BKR
487,7,King,East Side,BKR,BKR
488,7,King,East Side,BKR,BKR
489,8,King,East Side,BKR,BKR
490,8,King,East Side,BKR,BKR
491,8,King,East Side,BKR,BKR
492,8,King,East Side,BKR,BKR
493,8,King,East Side,BKR,BKR
494,8,King,East Side,BKR,BKR
495,8,King,East Side,BKR,BKR
496,8,King,East Side,BKR,BKR
497,8,King,East Side,BKR,BKR
498,8,King,East Side,BKR,BKR
499,8,King,East Side,BKR,BKR
500,8,King,East Side,BKR,BKR
501,8,King,East Side,BKR,BKR
502,8,King,East Side,BKR,BKR
503,8,King,East Side,BKR,BKR
504,8,King,East Side,BKR,BKR
505,8,King,East Side,BKR,BKR
506,8,King,East Side,BKR,BKR
507,8,King,East Side,BKR,BKR
508,8,King,East Side,BKR,BKR
509,8,King,East Side,BKR,BKR
510,8,King,East Side,BKR,BKR
511,8,King,East Side,BKR,BKR
512,8,King,East Side,BKR,BKR
513,8,King,East Side,BKR,BKR
514,7,King,East Side,BKR,BKR
515,7,King,East Side,BKR,BKR
516,7,King,East Side,BKR,BKR
517,7,King,East Side,BKR,BKR
518,8,King,East Side,BKR,BKR
519,8,King,East Side,BKR,BKR
520,8,King,East Side,BKR,BKR
521,8,King,East Side,BKR,BKR
522,8,King,East Side,BKR,BKR
523,8,King,East Side,BKR,BKR
524,8,King,East Side,BKR,BKR
525,8,King,East Side,BKR,BKR
526,8,King,East Side,BKR,BKR
527,8,King,East Side,BKR,BKR
528,8,King,East Side,BKR,BKR
529,8,King,East Side,BKR,BKR
530,8,King,East Side,BKR,BKR
531,8,King,East Side,BKR,BKR
532,7,King,East Side,BKR,BKR
533,7,King,East Side,BKR,BKR
534,7,King,East Side,BKR,BKR
535,7,King,East Side,BKR,BKR
536,7,King,East Side,BKR,BKR
537,7,King,East Side,BKR,BKR
538,7,King,East Side,BKR,BKR
539,7,King,East Side,BKR,BKR
540,7,King,East Side,BKR,BKR
541,7,King,East Side,BKR,BKR
542,7,King,East Side,BKR,BKR
543,7,King,East Side,BKR,BKR
544,7,King,East Side,BKR,BKR
545,7,King,East Side,BKR,BKR
546,7,King,East Side,BKR,BKR
547,7,King,East Side,BKR,BKR
548,7,King,East Side,BKR,BKR
549,7,King,East Side,BKR,BKR
550,7,King,East Side,BKR,BKR
551,7,King,East Side,BKR,BKR
552,8,King,East Side,BKR,BKR
553,8,King,East Side,BKR,BKR
554,8,King,East Side,BKR,BKR
555,8,King,East Side,BKR,BKR
556,8,King,East Side,BKR,BKR
557,8,King,East Side,BKR,BKR
558,8,King,East Side,BKR,BKR
559,8,King,East Side,BKR,BKR
560,8,King,East Side,BKR,BKR
561,7,King,East Side,BKR,BKR
562,7,King,East Side,BKR,BKR
563,7,King,East Side,BKR,BKR
564,7,King,East Side,BKR,BKR
565,7,King,East Side,BKR,BKR
566,8,King,East Side,BKR,BKR
567,8,King,East Side,BKR,BKR
568,8,King,East Side,BKR,BKR
569,8,King,East Side,BKR,BKR
570,8,King,East Side,BKR,BKR
571,8,King,East Side,BKR,BKR
572,8,King,East Side,BKR,BKR
573,8,King,East Side,BKR,BKR
574,8,King,East Side,BKR,BKR
575,8,King,East Side,BKR,BKR
576,8,King,East Side,BKR,BKR
577,8,King,East Side,BKR,BKR
578,8,King,East Side,BKR,BKR
579,8,King,East Side,BKR,BKR
580,8,King,East Side,BKR,BKR
581,8,King,East Side,BKR,BKR
582,8,King,East Side,BKR,BKR
583,8,King,East Side,BKR,BKR
584,8,King,East Side,BKR,BKR
585,8,King,East Side,BKR,BKR
586,8,King,East Side,BKR,BKR
587,8,King,East Side,BKR,BKR
588,8,King,East Side,BKR,BKR
589,8,King,East Side,BKR,BKR
590,8,King,East Side,BKR,BKR
591,8,King,East Side,BKR,BKR
592,7,King,East Side,BKR,BKR
593,7,King,East Side,BKR,BKR
594,7,King,East Side,BKR,BKR
595,7,King,East Side,BKR,BKR
596,7,King,East Side,BKR,BKR
597,7,King,East Side,BKR,BKR
598,7,King,East Side,BKR,BKR
599,7,King,East Side,BKR,BKR
600,7,King,East Side,BKR,BKR
601,7,King,East Side,BKR,BKR
602,7,King,East Side,BKR,BKR
603,7,King,East Side,BKR,BKR
604,7,King,East Side,BKR,BKR
605,7,King,East Side,BKR,BKR
606,7,King,East Side,BKR,BKR
607,7,King,East Side,BKR,BKR
608,7,King,East Side,BKR,BKR
609,7,King,East Side,BKR,BKR
610,7,King,East Side,BKR,BKR
611,7,King,East Side,BKR,BKR
612,7,King,East Side,BKR,BKR
613,7,King,East Side,BKR,BKR
614,7,King,East Side,BKR,BKR
615,7,King,East Side,BKR,BKR
616,7,King,East Side,BKR,BKR
617,8,King,East Side,BKR,BKR Fringe
618,8,King,East Side,BKR,BKR Fringe
619,8,King,East Side,BKR,BKR Fringe
620,8,King,East Side,BKR,BKR Fringe
621,8,King,East Side,BKR,BKR Fringe
622,8,King,East Side,BKR,BKR Fringe
623,8,King,East Side,BKR,BKR Fringe
624,8,King,East Side,BKR,BKR Fringe
625,8,King,East Side,BKR,BKR Fringe
626,8,King,East Side,BKR,BKR Fringe
627,8,King,East Side,BKR,BKR Fringe
628,8,King,East Side,BKR,BKR Fringe
629,8,King,East Side,BKR,BKR Fringe
630,8,King,East Side,BKR,BKR Fringe
631,8,King,East Side,BKR,BKR Fringe
632,8,King,East Side,BKR,BKR Fringe
633,8,King,East Side,BKR,BKR Fringe
634,8,King,East Side,BKR,BKR Fringe
635,8,King,East Side,BKR,BKR Fringe
636,8,King,East Side,BKR,BKR Fringe
637,8,King,East Side,BKR,BKR Fringe
638,7,King,East Side,BKR,BKR Fringe
639,7,King,East Side,BKR,BKR Fringe
640,7,King,East Side,BKR,BKR Fringe
641,7,King,East Side,BKR,BKR Fringe
642,7,King,East Side,BKR,BKR Fringe
643,7,King,East Side,BKR,BKR Fringe
644,7,King,East Side,BKR,BKR Fringe
645,7,King,East Side,BKR,BKR Fringe
646,7,King,East Side,BKR,BKR Fringe
647,7,King,East Side,BKR,BKR Fringe
648,7,King,East Side,BKR,BKR Fringe
649,7,King,East Side,BKR,BKR Fringe
650,7,King,East Side,BKR,BKR Fringe
651,7,King,East Side,BKR,BKR Fringe
652,7,King,East Side,BKR,BKR Fringe
653,7,King,East Side,BKR,BKR Fringe
654,7,King,East Side,BKR,BKR Fringe
655,7,King,East Side,BKR,BKR Fringe
656,6,King,East Side,BKR,BKR Fringe
657,7,King,East Side,BKR,BKR Fringe
658,8,King,East Side,BKR,BKR Fringe
681,8,King,East Side,BKR,BKR
682,8,King,East Side,BKR,BKR
683,9,King,East Side,BKR,BKR
684,9,King,East Side,BKR,BKR
685,9,King,East Side,BKR,BKR
686,9,King,East Side,BKR,BKR
687,9,King,East Side,BKR,BKR
688,9,King,East Side,BKR,BKR
689,9,King,East Side,BKR,BKR
690,9,King,East Side,BKR,BKR
691,9,King,East Side,BKR,BKR
692,9,King,East Side,BKR,BKR
693,9,King,East Side,BKR,BKR
694,9,King,East Side,BKR,BKR
695,9,King,East Side,BKR,BKR
696,9,King,East Side,BKR,BKR
697,9,King,East Side,BKR,BKR
698,9,King,East Side,BKR,BKR
699,9,King,East Side,BKR,BKR
700,9,King,East Side,BKR,BKR
701,9,King,East Side,BKR,BKR
702,9,King,East Side,BKR,BKR
703,9,King,East Side,BKR,BKR
704,9,King,East Side,BKR,BKR
705,9,King,East Side,BKR,BKR
706,9,King,East Side,BKR,BKR
707,9,King,East Side,BKR,BKR
708,9,King,East Side,BKR,BKR
709,9,King,East Side,BKR,BKR
710,9,King,East Side,BKR,BKR
711,9,King,East Side,BKR,BKR
712,9,King,East Side,BKR,BKR
713,9,King,East Side,BKR,BKR
714,9,King,East Side,BKR,BKR
715,9,King,East Side,BKR,BKR
716,9,King,East Side,BKR,BKR
717,9,King,East Side,BKR,BKR
718,9,King,East Side,BKR,BKR
719,9,King,East Side,BKR,BKR
720,9,King,East Side,BKR,BKR
721,9,King,East Side,BKR,BKR
722,9,King,East Side,BKR,BKR
723,9,King,East Side,BKR,BKR
724,9,King,East Side,BKR,BKR
725,9,King,East Side,BKR,BKR
726,9,King,East Side,BKR,BKR
727,9,King,East Side,BKR,BKR
728,9,King,East Side,BKR,BKR
729,9,King,East Side,BKR,BKR
730,9,King,East Side,BKR,BKR
731,9,King,East Side,BKR,BKR
732,9,King,East Side,BKR,BKR
733,9,King,East Side,BKR,BKR
734,9,King,East Side,BKR,BKR
735,9,King,East Side,BKR,BKR
736,9,King,East Side,BKR,BKR
737,9,King,East Side,BKR,BKR
738,9,King,East Side,BKR,BKR
739,9,King,East Side,BKR,BKR
740,9,King,East Side,BKR,BKR
741,9,King,East Side,BKR,BKR
742,9,King,East Side,BKR,BKR
743,9,King,East Side,BKR,BKR
744,9,King,East Side,BKR,BKR
745,9,King,East Side,BKR,BKR
746,9,King,East Side,BKR,BKR
747,9,King,East Side,BKR,BKR
748,9,King,East Side,BKR,BKR
749,9,King,East Side,BKR,BKR
750,9,King,East Side,BKR,BKR
751,9,King,East Side,BKR,BKR
752,9,King,East Side,BKR,BKR
753,9,King,East Side,BKR,BKR
754,9,King,East Side,BKR,BKR
755,9,King,East Side,BKR,BKR
756,9,King,East Side,BKR,BKR
757,9,King,East Side,BKR,BKR
758,9,King,East Side,BKR,BKR
759,9,King,East Side,BKR,BKR
760,9,King,East Side,BKR,BKR
761,9,King,East Side,BKR,BKR
762,9,King,East Side,BKR,BKR
763,9,King,East Side,BKR,BKR
764,9,King,East Side,BKR,BKR
765,9,King,East Side,BKR,BKR
766,9,King,East Side,BKR,BKR
767,9,King,East Side,BKR,BKR
768,9,King,East Side,BKR,BKR
769,9,King,East Side,BKR,BKR
770,9,King,East Side,BKR,BKR
771,9,King,East Side,BKR,BKR
772,9,King,East Side,BKR,BKR
773,9,King,East Side,BKR,BKR
774,9,King,East Side,BKR,BKR
775,9,King,East Side,BKR,BKR
776,9,King,East Side,BKR,BKR
777,9,King,East Side,BKR,BKR
778,9,King,East Side,BKR,BKR
779,9,King,East Side,BKR,BKR
780,9,King,East Side,BKR,BKR
781,9,King,East Side,BKR,BKR
782,9,King,East Side,BKR,BKR
783,9,King,East Side,BKR,BKR
784,9,King,East Side,BKR,BKR
785,9,King,East Side,BKR,BKR
