ENS,HR_COST,DAY_COST,year
gz2,219,973,2040
gz3,205,1285,2040
gz4,353,1449,2040
gz5,389,1760,2040
gz6,974,3826,2040
gz7,525,2478,2040
gz8,550,2747,2040
gz9,409,2285,2040
gz10,606,2642,2040
gz11,657,2829,2040
gz15,0,656,2040
gz16,834,1359,2040
gz17,435,882,2040
gz18,445,906,2040
gz19,771,1414,2040
gz20,883,1803,2040
gz21,236,1022,2040
gz22,137,1099,2040
gz24,397,1044,2040
gz26,442,1161,2040
gz27,595,1515,2040
gz28,448,1191,2040
gz29,261,941,2040
gz30,381,1119,2040
gz31,338,1005,2040
gz32,0,454,2040
gz33,18,633,2040
gz34,181,679,2040
gz35,66,450,2040
gz36,0,302,2040
gz37,191,727,2040
gz39,352,973,2040
gz40,0,563,2040
gz42,258,1167,2040
gz43,442,1161,2040
gz44,191,727,2040
gz1,588,2207,2044
gz2,219,973,2044
gz3,205,1285,2044
gz4,353,1449,2044
gz5,389,1760,2044
gz6,974,3826,2044
gz7,525,2478,2044
gz8,550,2747,2044
gz9,409,2285,2044
gz10,606,2642,2044
gz11,657,2829,2044
gz15,0,656,2044
gz16,834,1359,2044
gz17,435,882,2044
gz18,445,906,2044
gz19,771,1414,2044
gz20,883,1803,2044
gz21,236,1022,2044
gz22,137,1099,2044
gz24,397,1044,2044
gz26,442,1161,2044
gz27,595,1515,2044
gz28,448,1191,2044
gz29,261,941,2044
gz30,381,1119,2044
gz31,338,1005,2044
gz32,0,454,2044
gz33,18,633,2044
gz34,181,679,2044
gz35,66,450,2044
gz36,0,302,2044
gz37,191,727,2044
gz39,352,973,2044
gz40,0,563,2044
gz42,258,1167,2044
gz43,442,1161,2044
gz44,191,727,2044
gz1,682,2561,2050
gz2,254,1129,2050
gz3,238,1491,2050
gz4,410,1682,2050
gz5,451,2043,2050
gz6,1130,4440,2050
gz7,609,2876,2050
gz8,638,3188,2050
gz9,475,2652,2050
gz10,703,3066,2050
gz11,762,3283,2050
gz15,0,656,2050
gz16,834,1359,2050
gz17,435,882,2050
gz18,445,906,2050
gz19,771,1414,2050
gz20,883,1803,2050
gz21,236,1022,2050
gz22,137,1099,2050
gz24,397,1044,2050
gz26,442,1161,2050
gz27,595,1515,2050
gz28,448,1191,2050
gz29,261,941,2050
gz30,381,1119,2050
gz31,338,1005,2050
gz32,0,454,2050
gz33,18,633,2050
gz34,181,679,2050
gz35,66,450,2050
gz36,0,302,2050
gz37,191,727,2050
gz39,352,973,2050
gz40,0,563,2050
gz42,258,1167,2050
gz43,442,1161,2050
gz44,191,727,2050
