arrtm dadtyp day deptm dorp dpcl dpurp dtaz endacttm half hhno id mode oadtyp opcl opurp otaz pathtype pno tour tour_id travcost travdist travtime trexpfac tseg tsvid vot
740 4 1 735 -1 797163 2 1259 860 1 302214 51520 1 2 797163 2 1259 1 1 1 817 0 0.9 18 5.55375 2 2 6
680 2 1 645 -1 797163 2 1259 735 1 302214 51519 6 1 675022 0 28 3 1 1 817 1.125 16 31 5.55375 1 1 6
560 2 1 510 2 797163 2 1259 950 1 302269 51353 4 1 848652 0 499 1 1 1 868 2.946 15 27 5.1375 1 1 10
985 4 1 950 2 865757 5 514 1015 2 302269 51354 4 2 797163 2 1259 1 1 1 868 2.668 15 37 5.1375 1 2 10
1020 1 1 1015 2 848652 0 499 1440 2 302269 51355 4 4 865757 5 514 1 1 1 868 0.254484242424 1 5 5.1375 2 3 10
765 4 1 760 -1 797163 2 1259 1030 1 302649 50270 2 3 751791 6 1259 1 1 1 1194 0 0.75 5 18.0375 3 3 6
745 3 1 740 -1 751791 6 1259 760 1 302649 50269 1 2 751832 2 1264 1 1 1 1194 0 4.6 92 18.0375 2 2 6
1100 1 1 1060 -1 860578 0 23 1440 2 302649 50272 6 4 751756 6 1259 3 1 1 1194 1.125 16 40 18.0375 2 5 6
625 2 1 580 -1 751832 2 1264 740 1 302649 50268 6 1 860578 0 23 3 1 1 1194 1.125 16 31 18.0375 1 1 6
1040 4 1 1030 -1 751756 6 1259 1060 2 302649 50271 2 4 797163 2 1259 1 1 1 1194 0 0.75 5 18.0375 1 4 6
1060 1 1 1045 -1 899011 0 839 1440 2 302851 49860 3 3 679918 6 916 1 1 1 1313 0.626 2 7 15.3 2 5 6
690 4 1 685 -1 797163 1 1259 750 1 302851 49857 1 2 797163 2 1259 1 1 1 1313 0 0.9 18 15.3 2 2 6
1035 3 1 980 -1 679918 6 916 1045 2 302851 49859 6 2 797163 2 1259 3 1 1 1313 1.125 10 35 15.3 1 4 6
670 2 1 605 -1 797163 2 1259 685 1 302851 49856 6 1 899011 0 839 3 1 1 1313 1.125 12 29 15.3 1 1 6
760 2 1 750 -1 797163 2 1259 980 1 302851 49858 1 4 797163 1 1259 1 1 1 1313 0 0.9 18 15.3 3 3 6
1255 1 1 1210 -1 858288 0 480 1440 2 302886 49776 6 4 751664 1 1259 3 1 1 1339 1.125 16 26 5.1375 3 4 6
945 4 1 930 -1 751664 1 1259 1210 2 302886 49775 1 4 797163 4 1259 1 1 1 1339 0 0.9 18 5.1375 2 3 6
765 4 1 760 -1 797163 4 1259 930 2 302886 49774 1 2 797163 2 1259 1 1 1 1339 0 0.9 18 5.1375 1 2 6
710 2 1 660 -1 797163 2 1259 760 1 302886 49773 6 1 858288 0 480 3 1 1 1339 1.125 16 29 5.1375 1 1 6
900 4 1 870 -1 751805 7 1259 1030 2 302950 49600 3 4 827705 4 1257 1 1 1 1391 0.17216 4 19 15.30875 4 5 12
1335 1 1 1320 -1 717377 0 129 1440 2 302950 49605 3 4 903309 5 186 1 1 2 1392 0.614 3 7 15.30875 2 10 6
570 4 1 540 -1 850069 1 1333 585 1 302950 49596 3 1 717377 0 129 1 1 1 1391 3.682 18 32 15.30875 1 1 12
1200 2 1 1140 -1 789538 2 14 1260 1 302950 49603 3 4 691697 7 248 1 1 2 1392 1.042 5 12 15.30875 2 8 6
750 4 1 720 -1 827705 4 1257 870 2 302950 49599 3 4 913365 4 181 1 1 1 1391 5.356 14 31 15.30875 3 4 12
620 4 1 585 -1 1135283 4 1237 640 2 302950 49597 3 4 850069 1 1333 1 1 1 1391 0.934 6 22 15.30875 1 2 12
1110 4 1 1080 -1 691697 7 248 1140 1 302950 49602 3 1 717377 0 129 1 1 2 1392 0.361865555556 1 3 15.30875 1 7 6
1045 1 1 1030 -1 717377 0 129 1080 2 302950 49601 3 4 751805 7 1259 1 1 1 1391 5.572 20 44 15.30875 5 6 12
660 4 1 640 -1 913365 4 181 720 2 302950 49598 3 4 1135283 4 1237 1 1 1 1391 2.248 13 28 15.30875 2 3 12
1285 4 1 1260 -1 903309 5 186 1320 2 302950 49604 3 2 789538 2 14 1 1 2 1392 0.298701616162 1 8 15.30875 1 9 6
1335 3 1 1320 -1 886193 6 215 1350 1 302956 49590 3 1 1086535 0 123 1 1 2 1396 0.357422878788 2 6 4.59375 1 3 6
1365 1 1 1350 -1 1086535 0 123 1440 2 302956 49591 3 3 886193 6 215 1 1 2 1396 0.357422878788 2 6 4.59375 1 4 6
1095 1 1 1080 -1 1086535 0 123 1320 2 302956 49589 3 4 1067461 1 947 1 1 1 1395 0.333898333333 2 47 4.59375 1 2 12
495 4 1 480 -1 1067461 1 947 1080 1 302956 49588 3 1 1086535 0 123 1 1 1 1395 0.333898333333 2 47 4.59375 1 1 12
560 2 1 505 -1 797163 2 1259 1110 1 303151 49109 3 1 1177440 0 578 1 1 1 1542 3.082 17 30 5.55375 1 1 6
1170 4 1 1110 -1 767642 7 1324 1350 2 303151 49110 3 2 797163 2 1259 1 1 1 1542 5.778 30 46 5.55375 1 2 6
1410 1 1 1350 -1 1177440 0 578 1440 2 303151 49111 3 4 767642 7 1324 1 1 1 1542 5.188 25 36 5.55375 2 3 6
600 4 1 575 -1 1067464 1 947 1060 1 303395 48704 3 1 958689 0 650 1 1 1 1661 1.81 9 19 15.73625 1 1 12
1105 1 1 1060 -1 958689 0 650 1440 2 303395 48705 3 4 1067464 1 947 1 1 1 1661 2.092 8 60 15.73625 1 2 12
1125 4 1 1110 -1 921711 4 818 1210 1 303418 48670 3 1 1201490 0 744 1 1 2 1673 0.688 3 8 4.59375 1 5 6
1225 1 1 1210 -1 1201490 0 744 1440 2 303418 48671 3 4 921711 4 818 1 1 2 1673 0.694 3 8 4.59375 1 6 6
1085 1 1 1080 -1 1201490 0 744 1110 2 303418 48669 3 4 1179498 5 710 1 1 1 1672 0.137767020202 0 4 4.59375 3 4 12
1075 4 1 1065 -1 1179498 5 710 1080 2 303418 48668 3 4 903287 7 163 1 1 1 1672 0.704 3 9 4.59375 2 3 12
585 4 1 555 -1 932478 1 1254 915 1 303418 48666 3 1 1201490 0 744 1 1 1 1672 3.046 15 31 4.59375 1 1 12
940 4 1 915 -1 903287 7 163 1065 2 303418 48667 3 4 932478 1 1254 1 1 1 1672 2.452 14 29 4.59375 1 2 12
990 1 1 980 -1 1178489 0 918 1440 2 303507 48445 3 4 1264050 5 1199 1 1 1 1743 0.21623469697 3 10 5.1375 2 4 6
935 4 1 835 -1 1264050 5 1199 980 2 303507 48444 6 4 797163 2 1259 3 1 1 1743 1.125 18 39 5.1375 1 3 6
585 2 1 571 1 797163 2 1259 705 1 303507 48442 6 6 -1 10 1270 3 1 1 1743 -1 8 25 5.1375 2 1 6
710 4 1 705 -1 797163 2 1259 835 1 303507 48443 1 2 797163 2 1259 1 1 1 1743 0 0.9 18 5.1375 3 2 6
570 6 1 515 1 -1 10 1270 571 1 303507 48441 3 1 1178489 0 918 1 1 1 1743 -1 12 28 5.1375 1 1 6
970 1 1 950 -1 688665 0 1139 1440 2 303533 48365 1 4 688732 5 1031 1 1 1 1767 0 0.45 9 4.59375 3 6 6
930 4 1 870 -1 688732 5 1031 950 2 303533 48364 6 4 1161596 2 1245 3 1 1 1767 1.125 19 34 4.59375 2 5 6
