hhtaz,total_hhs,total_persons
1007,277.5422,832.6266
1011,179.9757,359.9514
1013,996.4608,1440.8473
1026,443.5331,1330.5993
1029,1018.7608,2152.3367
1032,364.6039,1062.2981
1037,114.5724,114.5724
1038,563.208,1409.406
1043,104.3892,208.7784
1044,790.3324,1014.8428
1048,52.2308,104.4616
1049,240.9052,240.9052
1054,679.3548,679.3548
1060,305.8036,611.6072
1062,84.7688,169.5376
1064,109.3501,218.7002
1092,293.5558,293.5558
1094,749.1807,749.1807
1102,361.0293,361.0293
1117,250.9842,250.9842
1118,300.7893,355.9101
1119,348.7181,975.7361
1136,331.8707,663.7414
1139,90.7845,177.894
1142,278.8429,557.6858
1145,140.4373,280.8746
1149,12.24,12.24
1151,325.2084,1300.8336
1152,712.3882,2137.1646
1155,552.0743,552.0743
1158,3208.6003,9780.5488
1159,1001.5982,2972.3294
1161,121.2457,242.4914
1165,308.0602,308.0602
1169,1095.9072,3847.295
1174,380.9817,380.9817
1175,201.7935,605.3805
1177,481.9442,1927.7768
1178,1175.219,4700.876
1181,222.0322,444.0644
1182,728.3605,2185.0815
1192,91.2522,182.5044
1195,667.8964,1335.7928
1196,1015.3583,3046.0749
1197,2009.9166,6039.7341
1198,1098.7714,5120.2345
1199,4686.0859,12776.7833
1200,1637.7413,3799.2895
1201,772.6222,1545.2444
1202,1381.7223,2590.5782
1203,1765.2375,4783.798
1204,357.6889,715.3778
1210,294.1416,588.2832
1212,1273.7355,2420.6191
1213,3628.7452,12444.4149
1214,182.9929,365.9858
1215,182.9929,365.9858
1231,7503.5574,23675.4034
1232,940.0128,1756.128
1233,2951.0529,7860.252
1234,6852.1928,25310.169
1235,1760.1981,3843.9681
1236,3752.7619,8041.5969
1237,3559.3684,9066.4257
1238,1754.1923,3356.5583
1239,3781.3695,11968.4114
1240,3516.6392,7017.7442
1241,9175.0339,25554.5051
1242,8942.7022,24526.3973
1243,9485.4006,20842.66
1244,13217.0301,34923.7001
1245,383.5837,855.7071
1246,3228.2786,8142.1685
1247,2557.4142,3215.8838
1248,2274.3068,2993.4278
1249,797.6107,928.5637
1250,196.6143,252.463
1251,4764.4796,6372.4545
1252,1421.4025,2245.0729
1253,3319.3091,4354.0372
1254,16413.3739,27781.9135
1255,6422.441,17822.9468
1256,12720.7443,15893.662
1257,9649.9187,16430.6295
1258,4337.9707,11080.458
1259,9207.4132,10149.1473
1260,13195.3446,25693.2767
1261,8449.3075,20362.0312
1262,6688.2841,13477.7133
1263,9772.7653,18372.7906
1264,11501.9648,19548.3064
1265,5724.1582,12801.0896
1266,4899.3309,10698.5631
1267,6326.7739,14451.9146
1268,5784.4217,11076.6643
1269,13753.7226,30363.4473
1270,8221.872,13614.0016
1271,7636.2044,18226.0122
1272,11838.636,34693.2228
1273,7117.3462,14686.2927
1274,8096.5279,13122.5403
1275,19853.681,50111.0203
1276,18307.9836,50506.455
1277,6384.719,19331.4192
1278,45310.9936,122606.2665
1279,25259.2967,55601.7521
1280,31977.7735,73753.8619
1281,15151.5347,31820.1806
1282,14651.6951,37755.175
1283,1921.3926,4255.211
1284,13043.7235,30960.0752
1285,7685.3187,18414.1963
1286,185.3741,185.3741
1287,33438.0172,97431.4133
1288,2795.2789,8612.6504
1289,22493.0497,57474.0962
1290,2046.6317,4830.526
1291,1753.5781,8634.9199
1292,7785.0607,23981.6378
1293,4418.8006,16775.7092
1294,4035.3885,7943.866
1295,4033.8032,5731.1172
1296,979.8135,2564.3246
1297,5262.0351,13269.7656
1298,3165.241,9985.1829
1299,3843.9587,15095.4831
1300,851.6781,2719.0414
1301,3592.6782,7133.96
1302,4175.2938,10753.574
1303,5863.1755,16693.9892
1304,4931.3194,13740.9806
1305,1095.7072,2789.1932
1306,2045.8495,5390.4273
1307,4610.2429,14935.1524
1308,1560.0734,2195.0794
1309,3283.7432,10655.1389
1310,904.6338,1380.3763
1311,1210.7716,2421.5432
1312,2050.3367,5978.7873
1313,1544.1716,2913.9967
1314,5669.3197,14955.7077
1315,15496.7476,41041.9194
1316,6173.9185,16389.9439
1317,12099.6629,29473.1704
1318,7623.2271,22011.5484
1319,18430.8584,48052.8234
1320,37981.4104,94061.2178
1321,14894.7123,37894.1091
1322,23515.846,62804.8337
1323,46740.8726,100007.8638
1324,19642.4791,54072.6438
1325,45756.3952,122165.2192
1326,14356.2373,33974.0986
1327,21023.3499,51181.6624
1328,2978.4147,6321.5314
1329,2904.4075,5394.8277
1331,11564.4429,22194.8244
1332,14004.4458,30619.0538
1333,11675.1037,34688.2947
1334,15998.7728,36687.3614
1335,7385.9502,19597.845
1336,11818.1919,26292.8074
1337,6536.5379,19241.9941
1338,17274.6097,37311.8905
1339,8620.902,12285.6972
1340,4122.8425,5993.4001
1341,12877.0897,23395.7104
1342,13465.7885,26888.2178
1343,11052.1636,19521.8655
1344,8383.6028,17762.547
1345,5332.971,9277.4233
1346,21885.97,52922.508
1347,47055.9139,115658.1368
1348,10559.8452,26618.6164
1349,19290.2284,47911.1571
1350,31474.4194,82284.7737
1351,41603.9462,96076.933
1352,7065.9487,19022.9194
1353,25337.1066,72959.3367
1354,55855.679,165215.4291
1355,27186.8245,57898.3162
