fraction_with_jobs_outside hh515 hhcu5 hhexpfac hhftw hhhsc hhincome hhno hhoad hhparcel hhptw hhret hhsize hhtaz hhuni hhvehs hhwkrs hownrent hrestype samptype zone_id
0 0 0 216.0636 1 0 87500 14100645 0 717748 1 0 2 252 0 1 2 2 1 0 1576
0 0 0 177.3819 1 0 87500 14100646 0 706396 0 0 1 383 0 1 1 1 2 0 1511
0 0 0 103.4239 0 0 87500 14100647 0 1018087 1 0 1 637 0 1 1 1 1 0 1449
0 0 0 164.9512 0 0 62500 14100648 0 1177290 0 1 1 576 0 1 0 1 1 0 1468
0 0 0 184.7808 0 0 40000 14100649 0 840337 0 1 1 600 0 1 0 1 2 0 1458
0 0 0 122.8119 0 0 125000 14100650 1 697332 1 0 2 381 0 2 1 1 1 0 1528
0 1 0 99.0944 1 0 -1 14100651 1 851004 0 0 3 130 0 1 1 2 5 0 1610
0 0 1 214.8305 1 0 40000 14100652 1 851204 0 0 3 130 0 1 1 2 5 0 1610
0 0 0 200.8923 1 0 40000 14100668 0 813996 0 0 1 818 0 1 1 1 1 0 1719
0 2 0 1112.3691 0 0 5000 14100699 1 734556 0 0 4 1197 1 0 1 2 5 0 1780
0 0 0 104.3892 2 0 175000 14100700 0 886916 0 0 2 1044 0 2 2 2 5 0 1673
0 0 1 557.6325 2 0 125000 14100720 0 679985 0 0 3 916 0 2 2 1 1 0 1806
0 0 0 218.7158 2 0 125000 14100721 0 877209 0 0 2 890 0 2 2 1 1 0 1734
0 0 0 436.9504 1 0 40000 14100723 0 828767 0 0 1 831 0 1 1 2 3 0 1722
0 0 1 780.8778 1 0 275000 14100724 1 789038 0 0 3 908 0 2 1 1 1 0 1746
0 1 1 219.6613 2 0 175000 14100725 0 984799 0 0 4 812 0 1 2 1 1 0 1718
0 0 0 292.7496 0 0 40000 14100745 0 3437 0 2 2 1199 0 2 0 1 1 0 1790
0 0 0 182.9929 2 0 225000 14100746 0 778571 0 0 2 1214 0 2 2 1 1 0 1922
0 0 0 140.7337 1 0 175000 14100747 1 1127179 0 0 2 1213 0 2 1 1 1 0 1912
0 0 0 316.2946 1 0 62500 14100784 1 749814 0 0 2 916 0 3 1 2 1 0 1811
0 0 1 532.8244 2 0 225000 14100785 0 841267 0 0 3 894 0 2 2 1 1 0 1747
0 1 0 184.7686 0 0 17500 14100805 1 1233759 0 0 2 936 0 1 0 2 5 0 1611
0 0 0 79.5627 1 0 -1 14100806 1 1101403 0 0 2 44 0 1 1 1 5 0 1551
0 0 0 108.9343 2 0 -1 14100808 0 1096660 0 0 2 32 0 1 2 2 5 0 1546
0 0 0 67.7194 1 0 -1 14100809 0 1096660 0 0 1 32 0 1 1 2 5 0 1546
0 0 0 582.3909 1 0 -1 14100900 1 788407 0 0 2 1212 0 3 1 1 1 0 1924
0 0 0 358.9855 1 0 125000 14100904 0 766290 0 0 1 1094 0 1 1 2 5 0 1648
0 0 1 1015.3583 2 0 225000 14100905 0 1093972 0 0 3 1196 0 2 2 1 1 0 1744
0 0 0 554.8357 1 0 30000 14100906 1 741656 0 0 2 1199 0 1 1 2 1 0 1782
0 0 0 278.8429 2 0 62500 14100907 0 1126520 0 0 2 1142 0 1 2 2 5 0 1678
0 1 0 453.8196 2 1 275000 14100917 0 1020237 0 0 4 538 0 3 2 1 1 0 1450
0 0 0 339.7123 0 0 17500 14100919 0 785636 1 0 1 914 0 1 1 1 1 0 1760
0 0 0 218.7158 2 0 125000 14100920 0 969322 0 0 2 852 0 2 2 1 1 0 1752
0 0 0 255.5745 1 0 87500 14100921 0 1017287 0 0 1 708 0 1 1 1 1 0 1638
0 0 0 148.1772 0 0 87500 14100922 0 761675 0 2 2 790 0 2 0 1 1 0 1692
0 0 0 675.1243 1 0 62500 14100923 0 1103682 0 0 1 769 0 1 1 2 5 0 1666
0 0 0 489.5959 2 0 62500 14100940 0 1234373 0 0 2 911 0 2 2 2 5 0 1780
0 1 0 580.9842 0 0 17500 14100968 1 846491 0 0 2 525 0 1 0 1 1 0 1474
0 0 0 130.3226 0 0 30000 14100969 0 796815 0 1 1 513 0 1 0 1 5 0 1467
0 0 0 126.5715 2 0 275000 14100970 0 718156 0 0 2 94 0 2 2 1 1 0 1607
0 0 0 1569.102 6 0 225000 14100971 0 1010506 1 0 7 281 0 7 7 2 1 0 1565
0 0 0 109.3501 1 0 175000 14100973 0 1142509 0 0 2 1064 1 2 2 2 5 0 1656
0 0 0 187.8135 0 0 125000 14101007 0 1176882 0 2 2 589 0 2 0 1 1 0 1466
0 0 0 124.7615 1 0 -1 14101008 1 1267789 0 0 3 391 1 3 2 1 1 0 1505
0 0 0 257.3216 0 0 40000 14101009 0 1008711 0 2 2 292 0 1 0 1 1 0 1523
0 1 0 177.6709 2 0 125000 14101010 0 1240581 0 0 3 262 0 2 2 1 1 0 1574
0 0 1 185.326 2 0 -1 14101011 0 789401 0 0 3 115 0 2 2 5 1 0 1630
0 1 0 262.7907 1 1 175000 14101093 0 900612 1 0 4 112 0 3 2 1 1 0 1609
0 0 0 1325.1896 3 0 125000 14101094 0 1010082 0 0 3 293 0 2 3 1 1 0 1523
0 1 1 259.9917 1 0 -1 14101095 0 1267306 1 0 4 402 0 2 2 1 1 0 1507
0 0 0 128.1033 0 0 275000 14101096 0 1259248 0 0 2 125 2 2 1 1 1 0 1610
0 1 1 96.827 2 0 125000 14101097 0 1170794 0 0 4 382 0 2 2 1 1 0 1509
0 0 0 205.5457 1 0 40000 14101098 0 890744 0 0 2 203 1 1 2 2 5 0 1562
0 0 0 147.5966 1 0 175000 14101128 1 984754 0 0 2 815 0 2 1 2 5 0 1719
0 0 0 146.7675 1 0 175000 14101129 0 929387 0 0 1 807 0 1 1 1 1 0 1695
0 2 0 95.4085 0 0 175000 14101130 1 859894 0 0 3 792 0 2 0 1 1 0 1694
0 0 0 380.9817 0 0 30000 14101170 1 1202557 0 0 1 855 0 1 0 1 1 0 1751
0 0 0 359.7019 1 0 225000 14101171 0 2277 1 0 2 773 0 2 2 2 1 0 1690
0 0 0 556.6887 2 0 87500 14101172 0 1108683 0 0 2 782 0 3 2 1 1 0 1699
0 0 0 437.5217 0 0 225000 14101173 1 985735 0 1 2 819 0 3 0 1 1 0 1720
0 0 0 140.7337 1 0 175000 14101174 1 789023 0 0 2 908 0 2 1 1 1 0 1746
0 0 0 284.8581 0 0 62500 14101175 0 1034827 0 1 1 52 0 1 0 1 1 0 1591
0 2 0 481.9442 1 0 175000 14101182 1 877954 0 0 4 1177 0 3 1 1 1 0 1711
0 2 0 485.8131 1 0 175000 14101184 0 1127317 1 0 4 1213 0 2 2 1 1 0 1912
0 0 0 214.8582 2 0 125000 14101218 0 734995 0 0 2 894 0 2 2 1 1 0 1747
0 1 2 1569.8921 1 0 175000 14101219 0 864617 1 0 5 835 0 2 2 1 1 0 1724
0 0 0 461.1784 0 0 40000 14101220 0 989009 0 2 2 916 0 1 0 1 1 0 1813
0 0 0 376.4099 2 0 275000 14101221 0 717208 0 0 2 440 0 2 2 1 2 0 1538
0 0 0 42.3013 0 0 125000 14101240 0 1067080 0 1 1 44 0 1 0 2 5 0 1551
0 0 0 123.8616 1 0 30000 14101241 0 913300 0 0 1 3 0 1 1 2 5 0 1551
0 0 0 85.4824 0 0 175000 14101242 1 1272802 0 1 2 91 0 2 0 1 1 0 1606
0 0 0 79.8791 0 0 87500 14101243 1 1096660 0 1 2 32 0 1 0 1 5 0 1547
0 0 0 89.067 2 0 125000 14101254 0 1096660 0 0 2 32 0 2 2 2 5 0 1546
0 0 0 118.6394 1 0 175000 14101261 1 879886 0 0 2 130 0 1 1 2 5 0 1610
0 0 0 101.9641 1 1 275000 14101262 0 788288 1 0 3 124 0 3 2 1 1 0 1629
0 0 0 107.7449 0 0 40000 14101263 0 913314 0 2 2 44 0 1 0 2 5 0 1551
0 0 0 208.2813 0 0 -1 14101264 1 909899 0 0 1 29 0 0 0 2 5 0 1549
0 0 0 106.2145 1 0 -1 14101265 1 1096660 0 0 2 32 0 2 1 1 5 0 1547
0 0 0 135.1942 0 0 125000 14101283 0 1268531 0 2 2 690 0 2 0 1 1 0 1632
0 0 0 503.0059 2 0 62500 14101288 0 984472 0 0 2 849 0 2 2 2 5 0 1727
0 0 0 180.5764 1 0 87500 14101289 0 926467 1 0 2 917 0 1 2 2 5 0 1803
0 1 0 947.0712 2 0 -1 14101315 0 1203368 0 0 3 1213 0 2 2 1 1 0 1914
0 0 0 267.2377 1 0 -1 14101317 2 1126731 0 0 3 1152 0 2 1 1 1 0 1680
0 0 0 714.9789 3 0 225000 14101332 1 826611 1 0 5 596 0 4 4 1 1 0 1423
0 0 0 164.1429 1 0 87500 14101337 0 1035354 0 0 1 916 0 1 1 1 1 0 1816
0 0 0 235.2735 0 0 5000 14101387 1 796815 0 0 1 513 0 0 0 2 5 0 1467
0 0 0 117.5029 1 0 87500 14101391 0 761896 0 0 1 751 0 1 1 2 5 0 1665
0 0 0 36.4469 2 0 125000 14101392 0 908901 0 0 2 858 0 1 2 1 1 0 1731
0 0 0 55.1208 2 0 125000 14101394 0 721362 0 0 2 1118 0 1 2 2 5 0 1929
0 0 0 212.714 2 0 125000 14101409 0 1153460 0 0 2 336 0 2 2 1 5 0 1517
0 1 2 246.8045 1 0 125000 14101410 1 1009217 0 0 5 290 0 1 1 1 1 0 1523
0 0 0 179.4622 2 0 275000 14101411 0 1201987 0 0 2 350 0 2 2 1 2 0 1510
0 1 0 112.401 1 0 87500 14101412 2 816375 0 0 4 984 0 1 1 2 1 0 1646
0 0 0 257.3216 0 0 40000 14101413 0 717557 0 2 2 253 0 1 0 1 1 0 1576
0 0 0 136.4487 1 0 225000 14101414 0 1176953 0 0 1 576 0 1 1 1 1 0 1468
0 1 0 479.7253 0 1 17500 14101415 1 840340 0 0 3 599 0 0 0 2 2 0 1458
0 0 0 239.2617 1 0 40000 14101416 0 1202771 0 0 1 435 0 1 1 1 1 0 1535
0 0 0 92.0069 2 0 125000 14101417 0 1063574 0 1 3 489 0 3 2 1 1 0 1462
0 0 0 279.5031 2 0 125000 14101490 0 1083070 0 0 2 603 0 4 2 1 1 0 1458
0 0 0 177.0304 2 0 125000 14101491 0 949472 0 0 2 656 0 2 2 1 2 0 1417
0 0 0 205.9266 0 0 62500 14101492 0 706519 0 2 2 657 0 2 0 1 2 0 1416
0 0 0 243.4185 0 0 -1 14101493 0 1206472 1 1 2 266 0 2 1 1 1 0 1573
0 0 0 130.0501 0 0 125000 14101494 2 825663 0 0 3 405 1 3 1 1 1 0 1505
0 0 0 110.7515 1 0 87500 14101495 0 850992 0 0 1 130 0 1 1 2 5 0 1610
0 0 0 129.9491 0 0 40000 14101496 0 971411 0 2 2 391 0 1 0 1 2 0 1509
0 0 0 95.959 1 0 225000 14101499 1 1077194 0 0 2 10 0 1 1 2 5 0 1545
0 0 0 96.6293 0 0 87500 14101511 1 985531 1 0 2 784 0 2 1 1 1 0 1696
0 1 1 135.2267 2 0 125000 14101520 0 717297 0 0 4 199 0 2 2 1 1 0 1562
0 0 0 123.3602 1 0 87500 14101547 0 903798 0 0 1 881 0 1 1 2 5 0 1732
0 0 0 317.6699 0 0 125000 14101574 0 1004932 0 2 2 916 0 2 0 1 1 0 1816
0 1 1 541.9792 1 1 125000 14101575 1 1272155 0 0 5 916 0 1 1 1 1 0 1809
0 0 0 413.7432 0 0 175000 14101576 0 1082386 2 0 2 597 0 1 2 1 1 0 1423
0 0 0 247.8928 0 0 40000 14101577 0 805973 0 1 1 640 0 1 0 1 5 0 1432
0 0 0 438.0627 1 0 275000 14101580 1 1235648 0 0 2 54 0 2 1 1 1 0 1591
0 0 0 529.5467 1 0 125000 14101581 0 1260668 0 0 1 856 0 2 1 1 1 0 1750
0 0 1 595.2435 1 0 87500 14101582 1 1072300 0 0 3 902 0 2 1 2 2 0 1753
0 0 0 425.8077 2 0 30000 14101583 0 1169897 1 0 3 769 0 0 3 2 5 0 1666
0 0 0 130.5455 2 0 87500 14101584 0 1015248 0 0 2 748 0 1 2 1 5 0 1663
0 1 1 325.2084 1 0 125000 14101595 1 1086693 0 0 4 1151 0 2 1 1 1 0 1680
0 0 0 517.0317 2 0 125000 14101596 0 935978 0 0 2 1159 0 3 2 1 1 0 1679
0 0 0 265.126 0 0 87500 14101597 0 1216989 0 2 2 1202 0 2 0 1 1 0 1899
0 2 0 201.7935 1 0 125000 14101598 0 925207 0 0 3 1175 0 1 1 2 5 0 1709
0 0 0 182.9929 2 0 225000 14101601 0 804181 0 0 2 1215 0 2 2 1 1 0 1920
0 0 0 661.9024 1 0 17500 14101602 1 728692 0 0 2 1201 0 2 1 1 1 0 1884
0 0 0 556.9672 0 0 17500 14101637 0 728800 1 0 1 1200 0 1 1 1 1 0 1886
0 0 0 91.8275 1 0 87500 14101668 0 1273092 0 0 1 87 0 1 1 1 5 0 1605
0 0 0 269.7846 0 0 -1 14101669 1 780583 0 0 1 960 0 1 0 5 1 0 1623
0 0 0 575.608 0 0 -1 14101689 0 1272950 1 1 2 619 0 3 1 1 5 0 1599
0 0 0 57.3606 0 0 87500 14101690 0 883325 0 1 1 16 0 1 0 2 5 0 1538
0 0 0 54.7734 1 0 125000 14101692 0 883884 0 0 1 239 0 1 1 1 2 0 1569
0 0 0 204.2987 1 0 17500 14101693 0 886195 0 0 1 246 0 1 1 2 5 0 1569
0 0 0 81.6751 1 0 125000 14101694 0 909899 0 0 1 29 0 1 1 2 5 0 1549
0 0 0 128.4014 0 0 62500 14101695 0 1104785 0 2 2 53 0 2 0 1 5 0 1543
0 0 0 132.4995 1 0 87500 14101696 0 1207630 0 1 2 441 0 2 1 1 5 0 1539
0 0 1 242.4181 1 0 125000 14101711 1 1062020 0 0 3 1029 0 1 1 2 5 0 1676
0 1 0 408.7157 1 0 87500 14101717 0 777725 1 0 3 55 0 2 2 1 1 0 1590
0 0 0 964.0957 1 0 62500 14101763 0 1264747 0 0 1 1199 0 1 1 1 5 0 1782
0 1 1 484.5665 1 0 175000 14101764 0 845721 1 0 4 1159 0 2 2 1 1 0 1679
0 0 0 262.5179 0 0 175000 14101775 0 1234445 1 1 2 711 0 2 1 1 1 0 1639
0 1 2 460.2118 1 0 125000 14101776 1 1187698 0 0 5 81 0 2 1 1 1 0 1588
0 0 2 325.2084 1 0 125000 14101779 1 877146 0 0 4 890 0 2 1 1 1 0 1734
0 0 0 254.2219 1 0 -1 14101780 0 1004930 0 0 1 916 0 1 1 5 1 0 1816
0 0 0 52.2308 1 0 175000 14101804 1 1227124 0 0 2 1048 0 1 1 2 2 0 1673
0 0 0 115.2196 1 0 125000 14101805 0 749500 0 0 2 1060 1 2 1 2 5 0 1655
0 1 1 82.8094 1 0 125000 14101816 0 816145 0 0 4 904 1 2 1 1 1 0 1766
0 0 0 297.4671 0 0 -1 14101817 0 728538 0 1 1 912 0 1 0 4 5 0 1768
0 1 0 171.7473 2 0 175000 14101851 0 942125 0 0 3 278 0 4 2 1 1 0 1570
0 0 0 116.3371 0 0 62500 14101853 0 796947 0 1 1 508 0 1 0 1 1 0 1467
0 2 0 156.9054 0 0 40000 14101862 2 984919 0 0 4 792 0 2 0 1 1 0 1694
0 0 0 101.9351 1 0 125000 14101863 0 835066 0 0 1 858 0 0 1 2 5 0 1731
0 1 0 181.9951 1 0 175000 14101864 1 1165877 0 0 3 809 0 2 1 1 1 0 1717
0 0 0 84.7688 1 0 62500 14101865 0 1153657 1 0 2 1062 0 1 2 2 5 0 1652
0 1 1 147.8464 1 0 125000 14101866 1 815574 0 0 4 1119 0 2 1 2 5 0 1929
0 0 0 245.6685 1 0 37500 14101867 0 721381 0 0 1 1118 0 1 1 2 5 0 1929
0 0 1 106.938 1 0 225000 14101880 2 883883 0 0 4 43 0 1 1 1 5 0 1548
0 0 0 213.7607 1 0 -1 14101881 0 789510 0 0 1 30 0 0 1 2 5 0 1546
0 0 0 145.5579 0 0 17500 14101884 1 890744 0 0 1 203 0 1 0 2 5 0 1562
0 1 1 99.1469 1 0 62500 14101885 1 777856 0 0 4 979 0 1 1 2 5 0 1624
0 3 0 361.3638 1 0 87500 14101886 1 1183946 0 0 5 330 0 2 1 1 1 0 1518
0 0 0 289.6693 1 0 17500 14101887 0 1034245 0 0 1 300 0 1 1 2 1 0 1519
0 0 0 130.8125 1 0 125000 14101888 0 1008296 0 0 1 303 0 1 1 1 1 0 1522
0 0 0 182.2466 0 0 62500 14101889 0 1000214 0 1 1 968 0 1 0 1 1 0 1621
0 0 0 265.2499 1 0 -1 14101890 1 948434 0 0 2 655 0 3 1 1 1 0 1418
0 0 0 116.1605 1 0 62500 14101891 0 746984 0 2 3 590 0 1 1 1 1 0 1466
0 0 1 185.326 1 0 225000 14101892 0 1252498 1 0 3 554 0 2 2 1 1 0 1472
0 1 0 262.7907 2 1 175000 14102008 0 1153270 0 0 4 331 0 4 2 1 1 0 1521
0 0 2 132.7676 0 0 125000 14102009 2 1154118 0 0 4 963 0 2 0 2 1 0 1620
0 0 0 179.4622 2 0 175000 14102010 0 688199 0 0 2 325 0 2 2 1 1 0 1519
0 0 0 150.0234 2 0 125000 14102011 0 1155528 0 0 2 391 0 2 2 4 1 0 1505
0 0 1 49.4845 0 0 87500 14102016 1 1197865 0 0 2 983 0 1 0 2 5 0 1626
0 0 1 91.7394 1 0 125000 14102028 1 815574 0 0 3 1119 0 1 1 2 5 0 1929
0 0 0 152.9148 2 0 62500 14102030 0 984995 0 0 2 818 0 2 2 1 1 0 1719
0 0 0 250.9842 1 0 62500 14102031 0 997425 0 0 1 753 0 1 1 2 5 0 1667
