hhno id pagey pdiary pgend pno ppaidprk pproxy pptyp psaudist psautime psexpfac pspcl pstaz pstyp ptpass puwarrp puwdepp puwmode pwaudist pwautime pwpcl pwtaz pwtyp
14106075 14079 40 -1 1 1 0 1 1 -1.0 -1.0 779.1919 0 -1 0 0 -1 -1 -1 3.0 17 173496 1280 1
14106075 14080 40 -1 2 2 1 2 4 -1.0 -1.0 779.1919 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106075 14081 14 -1 2 3 1 3 7 3.0 17.0 779.1919 173870 1280 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106075 14082 8 -1 1 4 1 3 7 3.0 17.0 779.1919 173847 1280 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106074 14077 70 -1 2 1 1 1 3 -1.0 -1.0 335.0391 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106074 14078 80 -1 1 2 1 1 3 -1.0 -1.0 335.0391 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106073 14076 70 -1 2 1 1 1 3 -1.0 -1.0 163.592 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106072 14075 70 -1 2 1 1 1 3 -1.0 -1.0 319.0814 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106071 14069 60 -1 2 1 1 1 4 -1.0 -1.0 934.5281 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106071 14070 60 -1 1 2 -1 2 1 -1.0 -1.0 934.5281 0 -1 0 4 -1 -1 -1 27.0 53 943564 1335 1
14106071 14071 30 -1 2 3 -1 3 2 -1.0 -1.0 934.5281 0 -1 0 0 -1 -1 -1 8.0 29 719433 1325 2
14106071 14072 30 -1 2 4 -1 3 1 -1.0 -1.0 934.5281 0 -1 0 0 -1 -1 -1 17.0 40 1124157 1327 1
14106071 14073 30 -1 1 5 0 1 1 -1.0 -1.0 934.5281 0 -1 0 5 -1 -1 -1 20.0 43 947318 1330 1
14106071 14074 21 -1 2 6 1 2 4 -1.0 -1.0 934.5281 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106070 14068 50 -1 1 1 1 1 4 -1.0 -1.0 332.5451 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106069 14065 50 -1 2 1 -1 1 2 -1.0 -1.0 450.9153 0 -1 0 0 -1 -1 -1 8.0 37 357240 1346 2
14106069 14066 50 -1 1 2 0 3 1 -1.0 -1.0 450.9153 0 -1 0 4 -1 -1 -1 -1.0 -1 735366 1249 1
14106069 14067 17 -1 2 3 1 3 6 8.0 37.0 450.9153 340181 1346 1 6 -1 -1 -1 -1.0 -1 0 -1 0
14106068 14064 50 -1 1 1 -1 1 1 -1.0 -1.0 396.8798 0 -1 0 0 -1 -1 -1 3.0 16 431133 1323 1
14106067 14062 21 -1 2 1 0 1 1 -1.0 -1.0 268.1232 0 -1 0 4 -1 -1 -1 21.0 46 828975 1251 1
14106067 14063 30 -1 1 2 1 1 2 -1.0 -1.0 268.1232 0 -1 2 0 -1 -1 -1 -1.0 -1 0 -1 2
14106066 14059 30 -1 2 1 -1 1 1 -1.0 -1.0 470.5833 0 -1 0 0 -1 -1 -1 -1.0 -1 662405 1351 1
14106066 14060 40 -1 1 2 1 3 1 -1.0 -1.0 470.5833 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 1
