hhno id pagey pdiary pgend pno ppaidprk pproxy pptyp psaudist psautime psexpfac pspcl pstaz pstyp ptpass puwarrp puwdepp puwmode pwaudist pwautime pwpcl pwtaz pwtyp
14100213 2321 50 -1 1 1 1 1 1 -1 -1 235.8108 0 -1 0 0 -1 -1 -1 11 20 840380 1301 1
14100213 2322 30 -1 2 2 -1 1 2 -1 -1 235.8108 0 -1 0 0 -1 -1 -1 2 6 685804 101 2
14100214 2324 80 -1 2 2 1 3 3 -1 -1 254.6753 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100214 2323 80 -1 1 1 1 1 3 -1 -1 254.6753 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100216 2327 60 -1 1 1 1 1 4 -1 -1 168.4641 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100217 2328 30 -1 1 1 1 1 1 -1 -1 121.9057 0 -1 0 3 -1 -1 -1 4 53 1067461 947 1
14100238 2365 8 -1 2 4 1 3 7 1 2 120.8995 920037 850 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100238 2362 50 -1 2 1 1 1 4 -1 -1 120.8995 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100238 2364 8 -1 1 3 1 2 7 3 7 120.8995 841216 895 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100238 2363 40 -1 1 2 1 3 1 -1 -1 120.8995 0 -1 0 4 -1 -1 -1 9 18 717080 476 1
14100239 2366 60 -1 2 1 1 1 4 -1 -1 144.6984 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100247 2382 60 -1 1 1 1 1 1 -1 -1 220.6939 0 -1 0 4 -1 -1 -1 18 41 829674 1257 1
14100248 2384 30 -1 1 2 -1 3 1 -1 -1 205.5457 0 -1 0 0 -1 -1 -1 36 65 495736 1323 1
14100248 2383 30 -1 2 1 1 1 2 2 11 205.5457 740439 351 2 2 -1 -1 -1 5 14 886309 931 2
14100249 2385 70 -1 2 1 1 1 3 -1 -1 130.3226 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100272 2427 50 -1 2 2 -1 2 1 -1 -1 96.1472 0 -1 0 0 -1 -1 -1 15 30 238479 1275 1
14100272 2426 60 -1 1 1 1 1 4 -1 -1 96.1472 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100276 2437 40 -1 2 1 -1 1 1 -1 -1 114.5724 0 -1 0 0 -1 -1 -1 2 7 1050567 1095 1
14100294 2472 70 -1 1 2 1 3 3 -1 -1 469.4584 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100294 2471 70 -1 2 1 1 1 3 -1 -1 469.4584 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100295 2474 40 -1 1 2 -1 1 2 -1 -1 248.2759 0 -1 0 0 -1 -1 -1 20 34 109210 1282 2
14100295 2473 30 -1 2 1 0 1 1 -1 -1 248.2759 0 -1 0 3 -1 -1 -1 17 49 716692 1339 1
14100296 2476 30 -1 2 2 0 1 1 -1 -1 503.0059 0 -1 2 0 -1 -1 -1 9 20 1125905 1106 1
14100296 2475 30 -1 1 1 0 2 1 -1 -1 503.0059 0 -1 0 0 -1 -1 -1 17 47 828975 1251 1
14100297 2479 90 -1 2 3 1 3 3 -1 -1 204.8846 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100297 2478 70 -1 2 2 1 2 3 -1 -1 204.8846 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100297 2477 70 -1 1 1 1 1 3 -1 -1 204.8846 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100298 2480 70 -1 2 1 0 1 2 -1 -1 620.5776 0 -1 0 0 -1 -1 -1 4 14 789490 40 2
14100298 2481 60 -1 1 2 1 3 4 -1 -1 620.5776 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100299 2482 50 -1 2 1 0 1 2 -1 -1 552.0743 0 -1 0 0 -1 -1 -1 0 0 1047095 1013 2
14100300 2483 50 -1 2 1 -1 1 1 -1 -1 294.1416 0 -1 0 4 -1 -1 -1 41 73 522601 1350 1
14100300 2484 50 -1 1 2 -1 3 1 -1 -1 294.1416 0 -1 0 0 -1 -1 -1 18 40 716810 1256 1
14100303 2490 30 -1 2 2 -1 2 1 -1 -1 99.3424 0 -1 0 0 -1 -1 -1 12 31 778364 1244 1
14100303 2489 30 -1 1 1 -1 1 1 -1 -1 99.3424 0 -1 0 0 -1 -1 -1 13 32 1208217 1252 1
14100359 2619 70 -1 1 1 1 1 3 -1 -1 323.6363 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100359 2620 70 -1 2 2 1 2 3 -1 -1 323.6363 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100371 2644 60 -1 1 1 -1 1 2 -1 -1 1406.1758 0 -1 0 0 -1 -1 -1 10 22 697449 1299 2
14100371 2645 60 -1 2 2 1 2 4 -1 -1 1406.1758 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100372 2647 17 -1 2 2 1 2 6 2 6 76.3359 975166 1163 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100372 2646 60 -1 2 1 1 1 4 -1 -1 76.3359 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100387 2686 70 -1 2 2 1 1 2 -1 -1 101.9235 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 2
14100387 2685 70 -1 1 1 1 1 3 -1 -1 101.9235 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100388 2688 60 -1 2 2 1 1 4 -1 -1 205.5556 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100388 2687 30 -1 2 1 0 1 1 -1 -1 205.5556 0 -1 0 3 -1 -1 -1 12 33 735329 1249 1
14100412 2730 80 -1 2 2 1 2 3 -1 -1 128.4014 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100412 2729 80 -1 1 1 1 1 3 -1 -1 128.4014 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100413 2732 80 -1 1 2 1 1 3 -1 -1 129.9491 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100413 2731 70 -1 2 1 1 1 3 -1 -1 129.9491 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100414 2733 21 -1 1 1 0 1 1 -1 -1 382.6605 0 -1 0 3 -1 -1 -1 17 40 829732 1256 1
14100435 2780 50 -1 2 1 0 1 1 -1 -1 240.4428 0 -1 0 4 -1 -1 -1 10 35 797163 1259 1
14100472 2869 14 -1 2 3 1 2 7 -1 -1 1175.219 0 -1 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100472 2870 14 -1 1 4 1 2 7 -1 -1 1175.219 0 -1 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100472 2867 50 -1 2 1 -1 1 2 -1 -1 1175.219 0 -1 0 0 -1 -1 -1 11 21 1267429 403 2
14100472 2868 50 -1 1 2 0 2 1 -1 -1 1175.219 0 -1 0 3 -1 -1 -1 10 22 749193 347 1
14100473 2872 50 -1 2 2 0 3 1 -1 -1 130.5455 0 -1 0 0 -1 -1 -1 0 1 966745 1170 1
14100473 2871 60 -1 1 1 0 1 1 -1 -1 130.5455 0 -1 0 3 -1 -1 -1 22 47 1056254 1250 1
14100494 2927 2 -1 2 4 1 -1 8 4 12 488.183 1201977 385 1 0 -1 -1 -1 -1 -1 0 -1 0
14100494 2925 40 -1 2 2 1 1 4 -1 -1 488.183 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100494 2924 40 -1 1 1 -1 2 1 -1 -1 488.183 0 -1 0 3 -1 -1 -1 17 38 829726 1256 1
14100494 2926 2 -1 2 3 1 -1 8 4 12 488.183 1201977 385 1 0 -1 -1 -1 -1 -1 0 -1 0
14100495 2928 50 -1 2 1 0 1 1 -1 -1 449.8968 0 -1 0 0 -1 -1 -1 6 12 745577 190 1
14100495 2929 21 -1 2 2 0 1 2 4 13 449.8968 740439 351 2 0 -1 -1 -1 4 7 1020026 537 2
14100496 2932 8 -1 2 3 1 3 7 0 1 488.183 919644 629 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100496 2931 60 -1 1 2 -1 2 2 -1 -1 488.183 0 -1 0 0 -1 -1 -1 14 34 735310 1249 2
14100496 2933 8 -1 2 4 1 3 7 3 7 488.183 840696 100 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100496 2930 50 -1 2 1 1 1 4 -1 -1 488.183 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100498 2937 8 -1 2 3 1 2 7 1 3 443.5331 734091 718 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100498 2935 50 -1 2 1 1 1 1 -1 -1 443.5331 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 1
14100498 2936 40 -1 1 2 -1 1 1 -1 -1 443.5331 0 -1 0 0 -1 -1 -1 5 14 789500 33 1
14100499 2938 40 -1 2 1 -1 1 1 -1 -1 540.3816 0 -1 0 0 -1 -1 -1 2 5 697663 1016 1
14100500 2941 8 -1 2 3 1 2 7 0 2 364.0161 991707 837 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100500 2940 40 -1 2 2 1 1 4 5 12 364.0161 708822 917 2 0 -1 -1 -1 -1 -1 0 -1 0
14100500 2939 50 -1 1 1 0 1 1 -1 -1 364.0161 0 -1 0 5 -1 -1 -1 18 49 1161261 1339 1
14100501 2943 60 -1 1 2 -1 3 1 -1 -1 1161.3797 0 -1 0 0 -1 -1 -1 7 19 241279 1277 1
14100501 2944 21 -1 1 3 -1 3 1 -1 -1 1161.3797 0 -1 0 0 -1 -1 -1 7 19 241312 1277 1
14100501 2942 60 -1 2 1 -1 1 1 -1 -1 1161.3797 0 -1 0 0 -1 -1 -1 2 8 903880 879 1
14100544 3017 90 -1 1 1 1 1 3 -1 -1 242.2778 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100544 3018 70 -1 2 2 1 2 3 -1 -1 242.2778 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100545 3019 70 -1 2 1 1 1 3 -1 -1 74.3217 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100546 3020 30 -1 1 1 -1 1 1 -1 -1 114.0657 0 -1 0 0 -1 -1 -1 4 11 789512 30 1
14100549 3026 8 -1 2 2 1 2 7 0 5 87.9501 1179491 737 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100549 3025 40 -1 2 1 1 1 4 -1 -1 87.9501 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100550 3027 40 -1 2 1 0 1 1 -1 -1 210.9064 0 -1 0 0 -1 -1 -1 6 10 1119120 918 1
14100551 3030 2 -1 2 3 1 -1 8 -1 -1 277.5422 0 -1 1 0 -1 -1 -1 -1 -1 0 -1 0
14100551 3028 30 -1 1 1 1 1 1 -1 -1 277.5422 0 -1 0 3 -1 -1 -1 6 15 932526 22 1
14100551 3029 30 -1 2 2 1 2 4 -1 -1 277.5422 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100552 3031 30 -1 2 1 0 1 1 -1 -1 143.6928 0 -1 0 5 -1 -1 -1 2 6 903880 879 1
14100553 3033 40 -1 1 2 -1 3 1 -1 -1 96.6293 0 -1 0 0 -1 -1 -1 6 12 851045 130 1
14100553 3032 60 -1 1 1 1 1 4 -1 -1 96.6293 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100574 3073 30 -1 2 2 1 3 4 -1 -1 171.876 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100574 3075 2 -1 2 4 1 -1 8 -1 -1 171.876 0 -1 1 0 -1 -1 -1 -1 -1 0 -1 0
14100574 3074 2 -1 2 3 1 -1 8 -1 -1 171.876 0 -1 1 0 -1 -1 -1 -1 -1 0 -1 0
14100574 3072 30 -1 1 1 0 1 1 -1 -1 171.876 0 -1 0 0 -1 -1 -1 4 9 1127929 1085 1
