arrtm dadtyp day deptm dorp dpcl dpurp dtaz endacttm half hhno id mode oadtyp opcl opurp otaz pathtype pno tour tour_id travcost travdist travtime trexpfac tseg tsvid vot
1260 1 1 1230 2 248198 0 1275 1440 2 14106089 40 4 3 1208314 6 1249 1 2 1 19229 2.854 17.0 32.0 207.808464956 2 3 60
415 2 1 405 1 229203 1 1275 855 1 14106088 41 3 1 242480 0 1275 1 1 1 19224 0.400931818182 2.0 13.0 565.818376954 1 1 22
870 1 1 855 1 242480 0 1275 965 2 14106088 42 3 2 229203 1 1275 1 1 1 19224 0.375558181818 2.0 13.0 565.818376954 1 2 22
975 4 1 965 2 210462 4 1275 975 1 14106088 43 4 1 242480 0 1275 1 1 2 19225 0.638 2.0 13.0 565.818376954 1 3 14
980 4 1 975 2 210531 7 1275 1030 1 14106088 44 4 4 210462 4 1275 1 1 2 19225 0.342796742424 2.0 13.0 565.818376954 2 4 14
1040 1 1 1030 2 242480 0 1275 1440 2 14106088 45 4 4 210531 7 1275 1 1 2 19225 0.604 2.0 13.0 565.818376954 1 5 14
975 4 1 965 1 210462 4 1275 975 1 14106088 46 4 1 242480 0 1275 1 2 1 19226 0.638 2.0 13.0 588.834958981 1 1 14
980 4 1 975 1 210531 7 1275 1030 1 14106088 47 4 4 210462 4 1275 1 2 1 19226 0.342796742424 2.0 13.0 588.834958981 2 2 14
1040 1 1 1030 1 242480 0 1275 1440 2 14106088 48 4 4 210531 7 1275 1 2 1 19226 0.604 2.0 13.0 588.834958981 1 3 14
455 2 1 450 1 212481 1 1279 990 1 14106087 49 3 1 232584 0 1275 1 1 1 19221 0.624 4.0 19.0 295.789176212 1 1 28
995 4 1 990 1 224415 1 1279 995 2 14106087 50 3 2 212481 1 1279 1 1 1 19221 0.33784 3.0 16.0 295.789176212 1 2 28
1000 1 1 995 1 232584 0 1275 1440 2 14106087 51 3 4 224415 1 1279 1 1 1 19221 0.389363636364 4.0 19.0 295.789176212 2 3 28
485 4 1 480 1 258491 5 1275 490 1 14106087 52 3 1 232584 0 1275 1 2 1 19222 0.316593207071 2.0 13.0 297.715060506 1 1 28
495 4 1 490 1 247348 5 1275 495 1 14106087 53 3 4 258491 5 1275 1 2 1 19222 0.091553030303 2.0 13.0 297.715060506 2 2 28
525 2 1 495 1 704982 1 1343 760 1 14106087 54 3 4 247348 5 1275 1 2 1 19222 2.082 12.0 35.0 297.715060506 3 3 28
1070 4 1 1040 1 237334 4 1275 1075 2 14106087 55 3 2 704982 1 1343 1 2 1 19222 2.212 12.0 34.0 297.715060506 1 6 28
1080 1 1 1075 1 232584 0 1275 1440 2 14106087 56 3 4 237334 4 1275 1 2 1 19222 0.195237272727 2.0 13.0 297.715060506 2 7 28
765 4 1 760 1 855083 1 1345 845 1 14106087 57 5 2 704982 1 1343 1 2 2 19223 0.728 6.0 21.0 297.715060506 1 4 0
850 2 1 845 1 704982 1 1343 1040 2 14106087 58 5 4 855083 1 1345 1 2 2 19223 0.746 6.0 22.0 297.715060506 1 5 0
490 4 1 485 1 216583 7 1279 540 1 14106086 59 3 1 211510 0 1279 1 1 3 19217 0.290395227273 3.0 16.0 234.861541611 1 1 7
545 1 1 540 1 211510 0 1279 575 2 14106086 60 3 4 216583 7 1279 1 1 3 19217 0.290395227273 3.0 16.0 234.861541611 1 2 7
585 4 1 575 2 209873 2 1275 730 1 14106086 61 4 1 211510 0 1279 1 1 1 19215 0.506351010101 4.0 19.0 234.861541611 1 3 13
740 1 1 730 2 211510 0 1279 975 2 14106086 62 4 4 209873 2 1275 1 1 1 19215 0.488835252525 4.0 19.0 234.861541611 1 4 13
990 4 1 975 1 216734 5 1279 1050 1 14106086 63 3 1 211510 0 1279 1 1 2 19216 0.518381666667 3.0 16.0 234.861541611 1 5 7
1060 1 1 1050 1 211510 0 1279 1125 2 14106086 64 3 4 216734 5 1279 1 1 2 19216 0.518381666667 3.0 16.0 234.861541611 1 6 7
1140 4 1 1125 1 233576 7 1275 1270 1 14106086 65 3 1 211510 0 1279 1 1 4 19218 0.499519040404 4.0 19.0 234.861541611 1 7 7
1280 1 1 1270 1 211510 0 1279 1440 2 14106086 66 3 4 233576 7 1275 1 1 4 19218 0.499519040404 4.0 19.0 234.861541611 1 8 7
585 4 1 575 1 209873 2 1275 730 1 14106086 67 4 1 211510 0 1279 1 2 1 19219 0.506351010101 4.0 19.0 233.512286364 1 1 13
740 1 1 730 1 211510 0 1279 750 2 14106086 68 4 4 209873 2 1275 1 2 1 19219 0.488835252525 4.0 19.0 233.512286364 1 2 13
775 4 1 750 1 216973 5 1276 805 1 14106086 69 4 1 211510 0 1279 1 2 2 19220 0.808 5.0 20.0 233.512286364 1 3 13
820 3 1 805 1 216766 6 1279 855 1 14106086 70 4 4 216973 5 1276 1 2 2 19220 0.380806818182 5.0 21.0 233.512286364 2 4 13
870 4 1 855 1 216902 5 1279 905 2 14106086 71 3 3 216766 6 1279 1 2 2 19220 0.160708333333 3.0 16.0 233.512286364 1 5 7
