fraction_with_jobs_outside hh515 hhcu5 hhexpfac hhftw hhhsc hhincome hhno hhoad hhparcel hhptw hhret hhsize hhtaz hhuni hhvehs hhwkrs hownrent hrestype samptype zone_id
0 0 0 13.168 0 0 -1 300187 0 1097062 0 0 1 1254 1 1 0 -1 -1 2 553
0 0 0 3.907 0 0 -1 300191 0 1150634 0 0 1 1271 1 0 0 -1 -1 3 11
0 0 0 3.907 0 0 -1 300192 0 819457 0 0 1 1263 1 1 0 -1 -1 3 211
0 0 0 7.92 0 0 -1 300193 0 1208207 0 0 1 1252 1 0 0 -1 -1 3 577
0 0 0 13.771 0 0 -1 300198 0 1208230 0 0 1 1252 1 0 0 -1 -1 2 576
0 0 0 4.443 0 0 -1 300201 0 1078453 0 0 1 1256 1 0 0 -1 -1 3 550
0 0 0 13.532 0 0 -1 300202 0 828224 0 0 1 1260 1 1 0 -1 -1 2 316
0 0 0 3.907 0 0 -1 300207 0 818645 0 0 1 1269 1 1 0 -1 -1 3 80
0 0 0 4.161 0 0 -1 300208 0 950077 0 0 1 1241 1 0 0 -1 -1 3 856
0 0 0 4.161 0 0 -1 300209 0 764023 0 0 1 1251 1 0 0 -1 -1 3 580
0 0 0 7.92 0 0 -1 300213 0 1253222 0 0 1 1355 1 0 0 -1 -1 3 828
0 0 0 4.161 0 0 -1 300229 0 926109 0 0 1 1244 1 1 0 -1 -1 3 648
0 0 0 12.43 0 0 -1 300231 0 1098533 0 0 1 1271 1 1 0 -1 -1 2 11
0 0 0 4.161 0 0 -1 300236 0 827926 0 0 1 1260 1 1 0 -1 -1 3 323
0 0 0 4.161 0 0 -1 300240 0 1498 0 0 1 1259 1 0 0 -1 -1 3 303
0 0 0 7.92 0 0 -1 300242 0 960372 0 0 1 1355 1 0 0 -1 -1 3 753
0 0 0 4.161 0 0 -1 300243 0 894170 0 0 1 1343 1 1 0 -1 -1 3 239
0 0 0 13.532 0 0 -1 300244 0 751509 0 0 1 1269 1 1 0 -1 -1 2 41
0 0 0 14.272 0 0 -1 300250 0 895150 0 0 1 1343 1 0 0 -1 -1 2 239
0 0 0 4.128 0 0 -1 300259 0 325544 0 0 1 1347 1 1 0 -1 -1 3 3592
0 0 0 3.907 0 0 -1 300262 0 1238137 0 0 1 1270 1 1 0 -1 -1 3 33
0 0 0 4.161 0 0 -1 300264 0 1115644 0 0 1 1256 1 0 0 -1 -1 3 426
0 0 0 4.161 0 0 -1 300267 0 1115650 0 0 1 1256 1 1 0 -1 -1 3 428
0 0 0 16.514 0 0 -1 300268 0 1078369 0 0 1 1254 1 0 0 -1 -1 1 552
0 0 0 3.907 0 0 -1 300269 0 1155458 0 0 1 1262 1 0 0 -1 -1 3 174
0 0 0 15.004 0 0 -1 300278 0 800952 0 0 1 1243 1 0 0 -1 -1 2 719
0 0 0 3.907 0 0 -1 300280 0 924823 0 0 1 1269 1 0 0 -1 -1 3 75
0 0 0 12.69 0 0 -1 300281 0 1197790 0 0 1 64 1 1 0 -1 -1 2 1592
0 0 0 7.92 0 0 -1 300285 0 926156 0 0 1 1338 1 0 0 -1 -1 3 701
0 0 0 4.161 0 0 -1 300288 0 995551 0 0 1 1341 1 1 0 -1 -1 3 398
0 0 0 4.161 0 0 -1 300294 0 1022964 0 0 1 1243 1 2 0 -1 -1 3 721
0 0 0 4.161 0 0 -1 300295 0 1078729 0 0 1 1254 1 0 0 -1 -1 3 425
0 0 0 11.981 0 0 -1 300296 0 812020 0 0 1 1264 1 1 0 -1 -1 2 218
0 0 0 4.128 0 0 -1 300298 0 195907 0 0 1 1279 1 0 0 -1 -1 3 2520
0 0 0 4.161 0 0 -1 300302 0 1219735 0 0 1 1253 1 0 0 -1 -1 3 547
0 0 0 7.92 0 0 -1 300305 0 674496 0 0 1 1254 1 1 0 -1 -1 3 600
0 0 0 4.161 0 0 -1 300307 0 1144592 0 0 1 1333 1 1 0 -1 -1 3 923
0 0 0 16.514 0 0 -1 300309 0 750257 0 0 1 1253 1 0 0 -1 -1 1 552
0 0 0 3.907 0 0 -1 300312 0 1269009 0 0 1 1264 1 1 0 -1 -1 3 185
0 0 0 4.161 0 0 -1 300313 0 754250 0 0 1 1240 1 2 0 -1 -1 3 915
0 0 0 3.907 0 0 -1 300317 0 1125186 0 0 1 1263 1 1 0 -1 -1 3 187
0 0 0 4.161 0 0 -1 300318 0 1145698 0 0 1 1243 1 1 0 -1 -1 3 721
0 0 0 3.907 0 0 -1 300320 0 1041071 0 0 1 1268 1 0 0 -1 -1 3 47
0 0 0 13.681 0 0 -1 300321 0 794838 0 0 1 1273 1 1 0 -1 -1 2 1846
0 0 0 26.991 0 0 -1 300322 0 1163145 0 0 1 1336 1 0 0 -1 -1 2 886
0 0 0 14.04 0 0 -1 300325 0 906930 0 0 1 1262 1 1 0 -1 -1 2 174
0 0 0 568.373 0 0 -1 300328 0 884836 0 0 1 1326 1 2 0 -1 -1 2 1231
0 0 0 14.04 0 0 -1 300334 0 1151472 0 0 1 1344 1 1 0 -1 -1 2 143
0 0 0 4.161 0 0 -1 300335 0 1799 0 0 1 1254 1 0 0 -1 -1 3 604
0 0 0 3.907 0 0 -1 300338 0 962347 0 0 1 1267 1 0 0 -1 -1 3 22
0 0 0 169.878 0 0 -1 300339 0 876549 0 0 1 352 1 2 0 -1 -1 3 1511
0 0 0 4.161 0 0 -1 300341 0 730985 0 0 1 1264 1 2 0 -1 -1 3 279
0 0 0 3.907 0 0 -1 300342 0 1092483 0 0 1 1269 1 1 0 -1 -1 3 74
0 0 0 14.205 0 0 -1 300343 0 1104231 0 0 1 1269 1 1 0 -1 -1 2 72
0 0 0 4.161 0 0 -1 300346 0 1161289 0 0 1 1248 1 0 0 -1 -1 3 518
0 0 0 3.907 0 0 -1 300353 0 1063232 0 0 1 1242 1 1 0 -1 -1 3 1496
0 0 0 4.161 0 0 -1 300355 0 1345 0 0 1 1344 1 0 0 -1 -1 3 148
0 0 0 28.147 0 0 -1 300356 0 1180384 0 0 1 1355 1 1 0 -1 -1 2 824
0 0 0 3.907 0 0 -1 300358 0 987074 0 0 1 1261 1 1 0 -1 -1 3 131
0 0 0 4.161 0 0 -1 300359 0 1171169 0 0 1 1240 1 2 0 -1 -1 3 910
0 0 0 14.638 0 0 -1 300361 0 829122 0 0 1 1251 1 1 0 -1 -1 2 573
0 0 0 3.907 0 0 -1 300365 0 793761 0 0 1 1269 1 1 0 -1 -1 3 91
0 0 0 4.161 0 0 -1 300366 0 1016904 0 0 1 1264 1 0 0 -1 -1 3 306
0 0 0 13.589 0 0 -1 300372 0 1039256 0 0 1 1255 1 3 0 -1 -1 2 418
0 0 0 14.638 0 0 -1 300375 0 1222598 0 0 1 1253 1 1 0 -1 -1 2 567
0 0 0 14.205 0 0 -1 300379 0 753305 0 0 1 1343 1 1 0 -1 -1 2 247
0 0 0 3.907 0 0 -1 300382 0 753322 0 0 1 1343 1 1 0 -1 -1 3 251
0 0 0 41.059 0 0 -1 300384 0 104934 0 0 1 1282 1 0 0 -1 -1 1 2251
0 0 0 14.04 0 0 -1 300392 0 1508 0 0 1 1260 1 1 0 -1 -1 2 313
