zone_id,district
533,BKR
534,BKR
535,BKR
536,BKR
537,BKR
538,BKR
539,BKR
540,BKR
541,BKR
542,BKR
543,BKR
544,BKR
545,BKR
546,BKR
547,BKR
548,BKR
549,BKR
550,BKR
551,BKR
552,BKR
553,BKR
554,BKR
555,BKR
556,BKR
557,BKR
558,BKR
559,BKR
560,BKR
561,BKR
562,BKR
563,BKR
564,BKR
565,BKR
566,BKR
567,BKR
568,BKR
569,BKR
570,BKR
571,BKR
572,BKR
573,BKR
574,BKR
575,BKR
576,BKR
577,BKR
578,BKR
579,BKR
580,BKR
581,BKR
582,BKR
583,BKR
584,BKR
585,BKR
586,BKR
587,BKR
588,BKR
589,BKR
590,BKR
591,BKR
592,BKR
593,BKR
594,BKR
595,BKR
596,BKR
597,BKR
598,BKR
599,BKR
600,BKR
601,BKR
602,BKR
603,BKR
604,BKR
605,BKR
606,BKR
607,BKR
608,BKR
609,BKR
610,BKR
611,BKR
612,BKR
613,BKR
614,BKR
615,BKR
616,BKR
617,BKR
618,BKR
619,BKR
620,BKR
621,BKR
622,BKR
623,BKR
624,BKR
625,BKR
626,BKR
627,BKR
628,BKR
629,BKR
630,BKR
631,BKR
632,BKR
633,BKR
634,BKR
635,BKR
636,BKR
637,BKR
638,BKR
639,BKR
640,BKR
641,BKR
642,BKR
643,BKR
644,BKR
645,BKR
646,BKR
647,BKR
648,BKR
649,BKR
650,BKR
651,BKR
652,BKR
653,BKR
654,BKR
655,BKR
656,BKR
657,BKR
658,BKR
681,BKR
682,BKR
683,BKR
684,BKR
685,BKR
686,BKR
687,BKR
688,BKR
689,BKR
690,BKR
691,BKR
692,BKR
693,BKR
694,BKR
695,BKR
696,BKR
697,BKR
698,BKR
699,BKR
700,BKR
701,BKR
702,BKR
703,BKR
704,BKR
705,BKR
706,BKR
707,BKR
708,BKR
709,BKR
710,BKR
711,BKR
712,BKR
713,BKR
714,BKR
715,BKR
716,BKR
717,BKR
718,BKR
719,BKR
720,BKR
721,BKR
722,BKR
723,BKR
724,BKR
725,BKR
726,BKR
727,BKR
728,BKR
729,BKR
730,BKR
731,BKR
732,BKR
733,BKR
734,BKR
735,BKR
736,BKR
737,BKR
738,BKR
739,BKR
740,BKR
741,BKR
742,BKR
743,BKR
744,BKR
745,BKR
746,BKR
747,BKR
748,BKR
749,BKR
750,BKR
751,BKR
752,BKR
753,BKR
754,BKR
755,BKR
756,BKR
757,BKR
758,BKR
759,BKR
760,BKR
761,BKR
762,BKR
763,BKR
764,BKR
765,BKR
766,BKR
767,BKR
768,BKR
769,BKR
770,BKR
771,BKR
772,BKR
773,BKR
774,BKR
775,BKR
776,BKR
777,BKR
778,BKR
779,BKR
780,BKR
781,BKR
782,BKR
783,BKR
784,BKR
785,BKR
786,BKR
787,BKR
788,BKR
789,BKR
790,BKR
791,BKR
792,BKR
793,BKR
794,BKR
795,BKR
796,BKR
797,BKR
798,BKR
799,BKR
800,BKR
801,BKR
802,BKR
803,BKR
804,BKR
805,BKR
806,BKR
807,BKR
808,BKR
809,BKR
810,BKR
811,BKR
812,BKR
813,BKR
814,BKR
815,BKR
816,BKR
817,BKR
818,BKR
819,BKR
820,BKR
821,BKR
822,BKR
823,BKR
824,BKR
825,BKR
826,BKR
827,BKR
828,BKR
829,BKR
830,BKR
831,BKR
832,BKR
833,BKR
834,BKR
835,BKR
836,BKR
837,BKR
838,BKR
839,BKR
840,BKR
841,BKR
842,BKR
843,BKR
844,BKR
845,BKR
846,BKR
847,BKR
848,BKR
849,BKR
850,BKR
851,BKR
852,BKR
853,BKR
854,BKR
855,BKR
856,BKR
857,BKR
858,BKR
859,BKR
860,BKR
861,BKR
862,BKR
863,BKR
864,BKR
865,BKR
866,BKR
867,BKR
868,BKR
869,BKR
870,BKR
871,BKR
872,BKR
873,BKR
874,BKR
875,BKR
876,BKR
877,BKR
878,BKR
879,BKR
880,BKR
881,BKR
882,BKR
883,BKR
884,BKR
885,BKR
886,BKR
887,BKR
888,BKR
889,BKR
890,BKR
891,BKR
892,BKR
893,BKR
894,BKR
895,BKR
896,BKR
897,BKR
898,BKR
899,BKR
900,BKR
901,BKR
902,BKR
903,BKR
904,BKR
905,BKR
906,BKR
907,BKR
908,BKR
909,BKR
910,BKR
911,BKR
912,BKR
913,BKR
914,BKR
915,BKR
916,BKR
917,BKR
918,BKR
931,BKR
932,BKR
933,BKR
934,BKR
935,BKR
936,BKR
937,BKR
938,BKR
939,BKR
940,BKR
941,BKR
942,BKR
943,BKR
944,BKR
945,BKR
946,BKR
947,BKR
948,BKR
949,BKR
950,BKR
951,BKR
952,BKR
953,BKR
954,BKR
955,BKR
956,BKR
957,BKR
958,BKR
959,BKR
960,BKR
961,BKR
962,BKR
963,BKR
964,BKR
965,BKR
966,BKR
967,BKR
968,BKR
969,BKR
970,BKR
971,BKR
972,BKR
973,BKR
974,BKR
975,BKR
976,BKR
977,BKR
978,BKR
979,BKR
980,BKR
981,BKR
982,BKR
983,BKR
984,BKR
985,BKR
986,BKR
987,BKR
988,BKR
989,BKR
990,BKR
991,BKR
992,BKR
993,BKR
994,BKR
995,BKR
996,BKR
997,BKR
998,BKR
999,BKR
1000,BKR
1001,BKR
1002,BKR
1003,BKR
1004,BKR
1005,BKR
1006,BKR
1007,BKR
1008,BKR
1009,BKR
1010,BKR
1011,BKR
1012,BKR
1013,BKR
1014,BKR
1015,BKR
1016,BKR
1017,BKR
1018,BKR
1019,BKR
1020,BKR
1021,BKR
1022,BKR
1023,BKR
1024,BKR
1025,BKR
1026,BKR
1027,BKR
1028,BKR
1029,BKR
1030,BKR
1031,BKR
1032,BKR
1033,BKR
1034,BKR
1035,BKR
1036,BKR
1037,BKR
1038,BKR
1039,BKR
1040,BKR
1041,BKR
1042,BKR
1043,BKR
1044,BKR
1045,BKR
1046,BKR
1047,BKR
1048,BKR
1049,BKR
1050,BKR
1051,BKR
1052,BKR
1053,BKR
1054,BKR
1055,BKR
1056,BKR
1057,BKR
1058,BKR
1059,BKR
1060,BKR
1061,BKR
1062,BKR
1063,BKR
1064,BKR
1065,BKR
1066,BKR
1067,BKR
1068,BKR
1069,BKR
1070,BKR
1071,BKR
1072,BKR
1073,BKR
1074,BKR
1075,BKR
1076,BKR
1077,BKR
1078,BKR
1079,BKR
1080,BKR
1081,BKR
1082,BKR
1083,BKR
1084,BKR
1085,BKR
1086,BKR
1087,BKR
1088,BKR
1089,BKR
1090,BKR
1091,BKR
1092,BKR
1093,BKR
1094,BKR
1095,BKR
1096,BKR
1097,BKR
1098,BKR
1099,BKR
1100,BKR
1101,BKR
1102,BKR
1103,BKR
1104,BKR
1105,BKR
1106,BKR
1107,BKR
1108,BKR
1109,BKR
1110,BKR
1111,BKR
1112,BKR
1113,BKR
1114,BKR
1115,BKR
1116,BKR
1117,BKR
1118,BKR
1119,BKR
1120,BKR
1121,BKR
1122,BKR
1123,BKR
1124,BKR
1125,BKR
1126,BKR
1127,BKR
1128,BKR
1129,BKR
1130,BKR
1131,BKR
1132,BKR
1133,BKR
1134,BKR
1135,BKR
1136,BKR
1137,BKR
1138,BKR
1139,BKR
1140,BKR
1141,BKR
1142,BKR
1143,BKR
1144,BKR
1145,BKR
1146,BKR
1147,BKR
1148,BKR
1149,BKR
1150,BKR
1151,BKR
1152,BKR
1153,BKR
1154,BKR
