OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,ID,SRID,ARM,Year_2010,Direction_,Location,LOC_ERROR,estimated,PSRCEdgeID,Oneway,HOV_I,HOV_J,NewINode,NewJNode,Shape_Length,key,key_hov
114,1,353,1,4247,5006,900,3.83,19000,Bothways,Before Milepost 9.77 A: RIGHT WYE CONNECTION HARDIE AVE SW,NO ERROR,15614.19403,206186,2,0,0,112459,112600,442.5452792,112459-112600,0-0
115,1,102,1,4260,4605,515,0.02,25000,Bothways,After Milepost 0.01 A: RIGHT WYE CONNECTION SR 516,NO ERROR,13495.15039,207056,2,0,0,128658,128266,749.5777949,128658-128266,0-0
116,1,94,1,4304,4400,512,7.77,80000,Bothways,Before Milepost 7.78 A: LEFT ON RAMP 94TH AVE E,NO ERROR,90281.3501,7720,0,0,0,167038,166980,3431.126496,167038-166980,0-0
117,1,95,1,4306,4504,512,9.35,86000,Bothways,After Milepost 9.34 A: RIGHT ON RAMP SR 161,NO ERROR,87812.68115,7746,0,0,0,165266,163106,3908.496976,165266-163106,0-0
118,1,638,1,4357,3021,161,33.82,24000,Bothways,Before Milepost 33.83 A: RIGHT INTERSECTION MILITARY RD S,NO ERROR,26369.07629,207744,2,0,0,148911,148958,121.5973027,148911-148958,0-0
119,1,97,1,4414,2941,167,7.73,99000,Bothways,After Milepost 6.44 A: LEFT OFF RAMP SR 512,NO ERROR,99467.07129,7928,0,0,0,158716,158627,1037.276652,158716-158627,0-0
120,1,660,1,4417,2988,164,4.07,17000,Bothways,"After Milepost 4.37 A: RIGHT INTERSECTION PVT RD,  LEFT INTERSECTION ACADEMY DR SE",NO ERROR,19830.33575,95967,2,0,0,146176,146374,960.3603069,146176-146374,0-0
121,1,488,1,4436,3190,169,14.96,21000,Bothways,"After Milepost 14.95 A: RIGHT INTERSECTION WITTE RD SE,  LEFT INTERSECTION SE BAIN RD",NO ERROR,19998.74841,77587,2,0,0,123169,122984,594.662192,123169-122984,0-0
122,1,419,1,4449,4499,522,11.59,86000,Bothways,After Milepost 11.59 A: LEFT OFF RAMP SR 405 SB,NO ERROR,95200.79199,5390,0,0,0,54499,54406,1881.58946,54499-54406,0-0
123,1,91,1,4452,439,5,128.53,168000,Bothways,Before Milepost 128.48 A: LEFT ON RAMP 84TH ST,NO ERROR,73315.47852,8146,0,0,0,164301,162769,3571.370364,164301-162769,0-0
124,1,78,2,4454,925,5,198.63,141000,Bothways,After Milepost 198.56 A: LEFT OFF RAMP SR 529 SB,NO ERROR,57774.52295,9376,0,0,0,17539,17278,1883.845447,17539-17278,0-0
125,1,462,1,4518,1000,18,8.72,48000,Bothways,Before Milepost 8.20 A: LEFT ON RAMP SE 304TH ST,NO ERROR,65641.83838,222080,0,0,0,136242,183899,3098.520879,136242-183899,0-0
126,1,46,1,4547,383,5,206.66,86000,Bothways,After Milepost 206.60 A: RIGHT ON RAMP SR 531,NO ERROR,66960.45093,8294,0,0,0,9282,10332,7328.114925,9282-10332,0-0
127,1,44,2,4548,1047,5,208.41,86000,Bothways,Before Milepost 208.37 A: LEFT ON RAMP PIONEER HWY E-OLD SR 530,NO ERROR,66960.45093,222038,0,0,0,8920,9282,3795.285837,8920-9282,0-0
128,1,46,1,4549,383,5,206.66,86000,Bothways,After Milepost 206.60 A: RIGHT ON RAMP SR 531,NO ERROR,66960.45093,8293,0,0,0,10451,9277,7900.014239,10451-9277,0-0
129,1,44,2,4550,1047,5,208.41,86000,Bothways,Before Milepost 208.37 A: LEFT ON RAMP PIONEER HWY E-OLD SR 530,NO ERROR,66960.45093,222039,0,0,0,9277,8917,3804.48658,9277-8917,0-0
130,1,79,1,4556,1187,5,198.57,123000,Bothways,Before Milepost 198.52 A: RIGHT ON RAMP SR 529 NB,NO ERROR,58722.11035,222088,0,0,0,17521,17533,85.37367544,17521-17533,0-0
131,1,106,1,4639,4562,516,9.03,31000,Bothways,After Milepost 8.75 A: BOTHWAYS INTERSECTION 124TH AVE SE,NO ERROR,29919.71722,83952,2,0,0,130745,130451,1028.012161,130745-130451,0-0
132,1,442,2,4685,2467,90,29.08,40000,Bothways,After Milepost 31.00 A: RIGHT ON RAMP SR 202,NO ERROR,28094.79419,7062,0,0,0,114117,111882,10785.22244,114117-111882,0-0
133,1,489,1,4738,3172,169,17.67,18000,Bothways,Before Milepost 17.68 A: RIGHT INTERSECTION CEDAR GROVE RD,NO ERROR,17176.85974,206730,2,0,0,118822,119512,2965.10813,118822-119512,0-0
134,1,442,2,4788,2467,90,29.08,40000,Bothways,After Milepost 31.00 A: RIGHT ON RAMP SR 202,NO ERROR,28094.79419,7064,0,0,0,111887,114182,10969.79684,111887-114182,0-0
135,1,344,1,4793,3422,202,18.22,9900,Bothways,Before Milepost 18.25 A: RIGHT INTERSECTION 292ND AVE SE,NO ERROR,10983.61337,204711,2,0,0,88627,90400,3499.808155,88627-90400,0-0
136,1,436,1,4809,2526,90,24.89,55000,Bothways,Before Milepost 26.83 A: LEFT ON RAMP WINERY RD,NO ERROR,43651.00989,6876,0,0,0,107469,107989,7142.628714,107469-107989,0-0
137,1,425,3,4810,2342,90,20.94,55000,Bothways,After Milepost 22.86 A: RIGHT ON RAMP JONES RD,NO ERROR,55600.92896,6887,0,0,0,105316,108319,14412.66691,105316-108319,0-0
138,1,425,3,4842,2342,90,20.94,55000,Bothways,After Milepost 22.86 A: RIGHT ON RAMP JONES RD,NO ERROR,55600.92896,6851,0,0,0,108156,105189,14243.37969,108156-105189,0-0
139,1,463,1,4857,801,18,10.1,45000,Bothways,After Milepost 9.56 A: RIGHT ON RAMP SE 304TH ST,NO ERROR,63382.26318,8704,0,0,0,134849,133686,2749.972268,134849-133686,0-0
140,1,337,1,5038,3431,202,7.68,37000,Bothways,"Before Milepost 7.69 A: RIGHT OFF RAMP SR 520 WB,  CENTER INTERSECTION MEDIAN XROAD,  LEFT INTERSECTION NE 76TH ST",NO ERROR,22990.7984,215699,2,0,0,71589,71509,384.7499551,71589-71509,0-0
141,1,277,1,5101,2330,99,28.6,54000,Bothways,After Milepost 34.85 A: BOTHWAYS INTERSECTION N 38TH ST,NO ERROR,71846.96631,5655,2,0,0,74980,74725,497.7046714,74980-74725,0-0
142,1,217,1,5157,5086,003P103626,0.224,14000,North Bound,On P1 RAMP (SR 3 NB TO SR 304 EB) After LEFT INTERSECTION SR 3 NB,NO ERROR,12957.06384,201258,0,0,0,185879,98303,2538.475229,185879-98303,0-0
143,1,219,1,5159,5085,003P103703,0.216,5200,North Bound,On P1 RAMP (SR 3 NB TO LOXIE EAGANS) After LEFT INTERSECTION SR 3 NB,NO ERROR,7774.10434,219082,0,0,0,185882,96184,1503.882414,185882-96184,0-0
144,1,222,1,5160,5125,003S103687,0.112,4200,South Bound,On S1 RAMP (WERNER RD TO SR 3 SB) After RIGHT WYE CONNECTION LX03731,NO ERROR,7423.068573,219085,0,0,0,96170,185873,2312.731758,96170-185873,0-0
145,1,221,1,5161,5135,003R103758,0.176,3600,South Bound,On R1 RAMP (SR 3 SB TO WERNER RD) After LEFT INTERSECTION SR 3 SB,NO ERROR,5849.270172,216604,0,0,0,185871,96170,1277.664371,185871-96170,0-0
146,1,220,1,5162,5071,003Q103778,0.108,3600,North Bound,On Q1 RAMP (LOXIE EAGANS TO SR 3 NB) After RIGHT WYE CONNECTION LX03731,NO ERROR,3897.650772,208332,0,0,0,96184,185884,2704.646339,96184-185884,0-0
147,1,226,1,5163,5124,003S103786,0.042,2400,South Bound,On S1 RAMP (AUTO CNTR WAY TO SR 3 SB) After BOTHWAYS INTERSECTION AUTO CENTER WAY,NO ERROR,781.7207527,208404,0,0,0,93990,185870,1147.998786,93990-185870,0-0
148,1,223,1,5164,5084,003P103804,0.192,2300,North Bound,On P1 RAMP (SR 3 NB TO SR 310) After LEFT INTERSECTION SR 3 NB,NO ERROR,2045.123497,208288,0,0,0,185885,92794,1467.935903,185885-92794,0-0
149,1,224,1,5165,5134,003R103860,0.208,8900,South Bound,On R1 RAMP (SR 3 SB TO KITSAP WAY) After LEFT INTERSECTION SR 3 SB,NO ERROR,8891.602936,216719,0,0,0,185868,92787,1509.396325,185868-92787,0-0
150,1,225,1,5166,5070,003Q103875,0.1,8300,North Bound,On Q1 RAMP (SR 310 TO SR 3 NB) After RIGHT WYE CONNECTION SR 310,NO ERROR,7091.668335,208290,0,0,0,92794,185887,2314.134091,92794-185887,0-0
151,1,228,1,5167,5123,003S103896,0.068,2900,South Bound,On S1 RAMP (AUSTIN DR TO SR 3 SB) After BOTHWAYS INTERSECTION LX03932-AUSTIN DR,NO ERROR,3498.99437,208522,0,0,0,89883,185867,1839.68472,89883-185867,0-0
152,1,227,1,5168,5083,003P103909,0.216,3700,North Bound,On P1 RAMP (SR3 NB TO SHOREWOOD DR) After LEFT INTERSECTION SR 3 NB,NO ERROR,2403.314301,208415,0,0,0,185888,89541,1449.59384,185888-89541,0-0
153,1,230,1,5169,5133,003R103953,0.224,1400,South Bound,On R1 RAMP (SR3 SB TO AUSTIN DR) After LEFT INTERSECTION SR 3 SB,NO ERROR,1113.122345,208521,0,0,0,185865,89883,1309.924655,185865-89883,0-0
154,1,229,1,5170,5101,003Q103975,0.098,1500,North Bound,On Q1 RAMP (SHOREWOOD DR TO SR 3 NB) After RIGHT WYE CONNECTION SHOREWOOD DR,NO ERROR,1313.481262,208414,0,0,0,89541,185890,2101.671137,89541-185890,0-0
155,1,145,1,5171,5075,003P105192,0.136,4400,North Bound,On P1 RAMP (SR 3 NB TO FINN HILL RD) After LEFT INTERSECTION SR 3 NB,NO ERROR,4611.896072,223958,0,0,0,185915,185960,1889.627556,185915-185960,0-0
156,1,251,1,5172,5074,003P105241,0.296,11000,North Bound,On P1 RAMP (SR 3 NB TO SR 305) After LEFT INTERSECTION SR 3 NB,NO ERROR,13263.30627,216640,0,0,0,185917,53198,1956.257254,185917-53198,0-0
157,1,147,2,5173,5136,003Q105328,0.102,4600,North Bound,On Q1 RAMP (SR 305 TO SR 3 NB) After BOTHWAYS INTERSECTION SR 305,NO ERROR,5033.19725,216664,0,0,0,53198,185919,2815.913068,53198-185919,0-0
158,1,214,1,5177,6111,016Q102705,0.078,6800,North Bound,On Q1 RAMP (TREMONT RD TO SR 16 NB) After BOTHWAYS INTERSECTION LX02669-TREMONT RD,NO ERROR,6301.587921,208355,0,0,0,104022,185975,1751.753401,104022-185975,0-0
159,1,213,1,5178,6119,016P102641,0.232,3200,North Bound,On P1 RAMP (SR 16 NB TO TREMONT RD) After LEFT INTERSECTION SR 16 NB,NO ERROR,3212.06955,208353,0,0,0,185978,104022,1419.818893,185978-104022,0-0
160,1,216,1,5179,6148,016S102615,0.12,3000,South Bound,On S1 RAMP (CLIFTON RD TO SR 16 SB) After BOTHWAYS INTERSECTION LX02669-CLIFTON RD,NO ERROR,2357.038391,208667,0,0,0,104078,185977,2947.872675,104078-185977,0-0
161,1,210,1,5180,6112,016Q102565,0.096,6900,North Bound,On Q1 RAMP (SR 160 TO SR 16 NB) After BOTHWAYS INTERSECTION SR 160,NO ERROR,5360.236481,208058,0,0,0,107651,185979,2664.610816,107651-185979,0-0
162,1,211,1,5181,6100,016R102543,0.272,6800,South Bound,On R1 RAMP (SR 16 SB TO SEDGWICK RD) After LEFT INTERSECTION SR 16 SB,NO ERROR,4955.424957,208637,0,0,0,185980,107894,1505.503894,185980-107894,0-0
163,1,209,1,5182,6058,016P102485,0.248,5600,North Bound,On P1 RAMP (SR 16 NB TO SR 160) After LEFT INTERSECTION SR 16 NB,NO ERROR,4006.855682,208056,0,0,0,185981,107651,1616.884851,185981-107651,0-0
164,1,212,1,5183,6149,016S102468,0.088,5100,South Bound,On S1 RAMP (SEDGWICK RD TO SR 16 SB) After BOTHWAYS INTERSECTION LX02514-SEDGWICK RD,NO ERROR,4691.643097,208635,0,0,0,107894,185982,2420.130819,107894-185982,0-0
165,1,206,1,5184,6113,016Q102308,0.094,2900,North Bound,On Q1 RAMP (MULLENIX RD TO SR 16 NB) After BOTHWAYS INTERSECTION LX02261-MULLENIX RD,NO ERROR,3395.761459,216676,0,0,0,113283,185984,2452.666372,113283-185984,0-0
166,1,207,1,5185,6101,016R102295,0.256,2500,South Bound,On R1 RAMP (SR 16 SB TO MULLENIX RD) After LEFT INTERSECTION SR 16 SB,NO ERROR,3406.809036,208617,0,0,0,185983,113279,1737.011181,185983-113279,0-0
167,1,544,1,5194,4850,525,3.06,39000,Bothways,"After Milepost 3.05 A: RIGHT WYE CONNECTION LINCOLN WAY,  LEFT MISCELLANEOUS FEATURE BUS PULLOUT",NO ERROR,51612.38208,215278,2,0,0,31802,32407,1553.790897,31802-32407,0-0
168,1,541,1,5195,4853,525,1.27,51000,Bothways,After Milepost 1.26 A: RIGHT ON RAMP ALDERWOOD MALL PKWY,NO ERROR,75629.76904,224165,0,0,0,186087,36857,696.0218857,186087-36857,0-0
169,1,543,1,5196,4851,525,3,42000,Bothways,After Milepost 2.99 A: LEFT OFF RAMP SR 99 SB,NO ERROR,69333.38147,224158,0,0,0,32407,186083,288.7959744,32407-186083,0-0
170,1,62,2,5207,457,5,202.11,118000,Bothways,Before Milepost 202.06 A: LEFT ON RAMP 116TH ST NE,NO ERROR,80695.00684,8406,0,0,0,13476,14718,6924.957787,13476-14718,0-0
171,1,144,2,5214,840,3,51.76,38000,Bothways,Before Milepost 51.82 A: LEFT ON RAMP FINN HILL RD,NO ERROR,47671.15564,223833,0,0,0,185913,185915,15519.81818,185913-185915,0-0
172,1,192,1,5215,858,3,46.2,49000,Bothways,After Milepost 46.24 A: RIGHT ON RAMP SR 303,NO ERROR,54756.41443,223836,0,0,0,185907,185908,2053.54016,185907-185908,0-0
173,1,189,2,5216,638,3,44.28,43000,Bothways,At Milepost 44.33 A: PTR LOCATION R050,NO ERROR,50981.07605,223840,0,0,0,185900,185902,6738.238222,185900-185902,0-0
174,1,144,2,5218,840,3,51.76,38000,Bothways,Before Milepost 51.82 A: LEFT ON RAMP FINN HILL RD,NO ERROR,47671.15564,223856,0,0,0,185840,185844,16049.51205,185840-185844,0-0
175,1,189,2,5219,638,3,44.28,43000,Bothways,At Milepost 44.33 A: PTR LOCATION R050,NO ERROR,50981.07605,223862,0,0,0,185855,185857,7319.806026,185855-185857,0-0
176,1,146,1,5221,918,3,52.35,29000,Bothways,Before Milepost 52.41 A: RIGHT OFF RAMP SR 305,NO ERROR,36081.23291,223882,0,0,0,185842,185840,4067.272183,185842-185840,0-0
177,1,218,1,5233,5126,003S103607,0.098,14000,South Bound,On S1 RAMP (SR 3 OXING TO SR 3 SB) After INCREASING MISCELLANEOUS FEATURE SR 3 0XING WPS,NO ERROR,12676.22424,7706,0,0,0,98375,185876,3271.820384,98375-185876,0-0
178,1,182,1,5236,471,3,36.03,69000,Bothways,Before Milepost 36.07 A: LEFT ON RAMP SR 304,NO ERROR,73275.52051,223817,0,0,0,185878,185879,7530.559578,185878-185879,0-0
179,1,1,2,5238,795,3,42.87,54000,Bothways,Before Milepost 42.93 A: LEFT ON RAMP NEWBERRY HILL RD,NO ERROR,53987.17957,223820,0,0,0,185896,185898,7927.868328,185896-185898,0-0
180,1,1,2,5240,795,3,42.87,54000,Bothways,Before Milepost 42.93 A: LEFT ON RAMP NEWBERRY HILL RD,NO ERROR,53987.17957,223866,0,0,0,185859,185861,8397.51395,185859-185861,0-0
181,1,183,1,5244,508,3,36.81,45000,Bothways,Before Milepost 36.87 A: LEFT ON RAMP W WERNER RD,NO ERROR,50944.41003,223891,0,0,0,185873,185876,4178.113359,185873-185876,0-0
182,1,526,1,5277,6061,016P101540,0.296,11000,North Bound,On P1 RAMP (SR 16 WB TO SR 302) After LEFT INTERSECTION SR 16 WB,NO ERROR,6686.063049,147826,0,0,0,128729,127442,2685.132035,128729-127442,0-0
183,1,496,2,5280,4876,705,0.48,71000,Bothways,Before Milepost 0.49 A: RIGHT OFF RAMP SR 509,NO ERROR,95279.71924,7816,0,0,0,152015,151736,624.6652856,152015-151736,0-0
184,1,411,2,5355,4478,522,16.61,27000,Bothways,"After Milepost 16.60 A: RIGHT INTERSECTION PARADISE LAKE RD,  CENTER INTERSECTION MEDIAN XROAD,  LEFT INTERSECTION SR 524",NO ERROR,48258.1427,224085,0,0,0,186016,186018,558.6395792,186016-186018,0-0
185,1,411,2,5356,4478,522,16.61,27000,Bothways,"After Milepost 16.60 A: RIGHT INTERSECTION PARADISE LAKE RD,  CENTER INTERSECTION MEDIAN XROAD,  LEFT INTERSECTION SR 524",NO ERROR,48258.1427,224086,0,0,0,186019,186017,556.2881364,186019-186017,0-0
186,1,245,1,5365,5077,003P104796,0.192,4800,North Bound,On P1 RAMP (SR 3 NB TO SR 308) After LEFT INTERSECTION SR 3 NB,NO ERROR,5417.059601,223955,0,0,0,185911,185958,1354.647737,185911-185958,0-0
187,1,468,1,5402,6151,018Q101204,0.116,4000,North Bound,On Q1 RAMP (SR 516 TO SR 18 EB) After BOTHWAYS INTERSECTION SR 516,NO ERROR,6522.257507,219434,0,0,0,131555,186148,1271.774382,131555-186148,0-0
188,1,12,1,5442,7448,705P100049,0.168,11000,North Bound,On P1 RAMP (SR 705 NB TO 21ST ST) After LEFT INTERSECTION SR 705 NB,NO ERROR,13404.11475,7861,0,0,0,151736,151220,1166.910662,151736-151220,0-0
189,1,281,1,5517,6790,099S103179,0.016,14000,South Bound,On S1 RAMP (ELLIOTT AVE TO SR 99 SB) After BOTHWAYS INTERSECTION ELLIOTT AVE,NO ERROR,19141.11304,5980,0,0,0,84746,85009,556.4458758,84746-85009,0-0
190,1,325,1,5602,4788,527,6.64,25000,Bothways,"After Milepost 6.63 A: RIGHT WYE CONNECTION MILL CREEK RD,  LEFT WYE CONNECTION 164TH ST SE",NO ERROR,20860.09387,218090,2,0,0,37090,36918,306.8949707,37090-36918,0-0
191,1,148,2,5607,5114,003S505257,0.132,11000,South Bound,On S5 RAMP (SR 305 TO SR 3 SB) After LEFT INTERSECTION LX05275,NO ERROR,10356.42365,103406,0,0,0,185411,52613,1174.00188,185411-52613,0-0
192,1,149,1,5609,5127,003R105321,0.344,4500,South Bound,On R1 RAMP (SR 3 SB TO OLY COLLEGE W) After LEFT INTERSECTION SR 3 SB,NO ERROR,4608.108841,216697,0,0,0,185838,184307,2387.63335,185838-184307,0-0
193,1,175,1,5633,450,16,17.87,41000,Bothways,"At Milepost 20.10 A: BEGIN INCREASING BRIDGE SE BURLEY-OLALLA RD,  BEGIN DECREASING BRIDGE SE BURLEY-OLALLA RD",NO ERROR,57468.05865,219864,0,0,0,183487,185991,1700.294877,183487-185991,0-0
194,1,175,1,5634,450,16,17.87,41000,Bothways,"At Milepost 20.10 A: BEGIN INCREASING BRIDGE SE BURLEY-OLALLA RD,  BEGIN DECREASING BRIDGE SE BURLEY-OLALLA RD",NO ERROR,57468.05865,219863,0,0,0,185992,118625,1717.795907,185992-118625,0-0
195,1,192,1,5649,858,3,46.2,49000,Bothways,After Milepost 46.24 A: RIGHT ON RAMP SR 303,NO ERROR,54756.41443,223851,0,0,0,185850,186903,1858.638295,185850-186903,0-0
196,1,474,1,5657,6182,018Q101609,0.09,3300,North Bound,On Q1 RAMP (SE 231ST ST TO SR 18 EB) After RIGHT WYE CONNECTION SE 231ST ST,NO ERROR,4817.90979,201833,0,0,0,124758,124257,1185.366735,124758-124257,0-0
197,1,473,1,5694,6166,018R101609,0.368,3600,South Bound,On R1 RAMP (SR 18 WB TO SE 231ST ST) After LEFT INTERSECTION SR 18 WB,NO ERROR,4691.182465,8707,0,0,0,124326,186921,1627.931654,124326-186921,0-0
198,1,472,1,5697,6152,018S101515,0.104,6200,South Bound,On S1 RAMP (SE 231ST ST TO SR 18 WB) After RIGHT WYE CONNECTION LX01569,NO ERROR,10966.58453,218942,0,0,0,186921,125344,1178.114264,186921-125344,0-0
199,1,131,1,6642,2864,104,24.09,7400,Bothways,"Before Milepost 24.23 A: LEFT INTERSECTION SR 104 COKNGSTN (COUPLT),  LEFT INTERSECTION ILLINOIS AVE NE,  DECREASING MISCELLANEOUS FEATURE COUPLET - COKNGSTN",NO ERROR,4438.021214,108066,2,0,0,45615,45356,460.7914181,45615-45356,0-0
200,1,607,1,8270,1731,99,26.53,67000,Bothways,After Milepost 32.78 A: RIGHT OFF RAMP MERCER ST,NO ERROR,75232.76245,5864,2,0,0,81965,81858,166.5246952,81965-81858,0-0
201,1,677,1,9580,2932,167,13.11,91000,Bothways,Before Milepost 11.84 A: LEFT ON RAMP ELLINGSON RD,NO ERROR,96279.85449,7590,0,0,0,146526,147625,2426.754057,146526-147625,0-0
202,1,96,1,9912,4482,512,11.54,84000,Bothways,Before Milepost 11.55 A: LEFT ON RAMP SR 167,NO ERROR,89968.35107,7941,0,0,0,160550,159230,2514.327077,160550-159230,0-0
203,1,96,1,9913,4482,512,11.54,84000,Bothways,Before Milepost 11.55 A: LEFT ON RAMP SR 167,NO ERROR,89968.35107,7943,0,0,0,159306,160622,2435.1325,159306-160622,0-0
204,1,466,1,9959,6183,018S101091,0.096,10000,South Bound,On S1 RAMP (SR 516 TO SR 18 WB) After BOTHWAYS INTERSECTION SR 516,NO ERROR,15913.89807,207124,0,0,0,131550,131971,1142.834765,131550-131971,0-0
205,1,452,1,9979,6457,090Q103497,0.054,1000,East Bound,On Q1 RAMP (468TH AVE SE TO SR 90 EB) After BOTHWAYS INTERSECTION LX03467-468TH AVE SE,NO ERROR,260.3488865,70628,0,0,0,115799,115821,1051.627313,115799-115821,0-0
206,1,479,1,10002,727,18,21.28,22000,Bothways,After Milepost 20.77 A: LEFT OFF RAMP ISSAQUAH HOBART RD,NO ERROR,26408.0919,221704,0,0,0,198213,119185,1328.930732,198213-119185,0-0
207,1,477,2,10004,96,18,19.08,26000,Bothways,After Milepost 18.57 A: RIGHT ON RAMP 244TH AVE SE,NO ERROR,32391.95496,74133,0,0,0,119506,198214,8976.933048,119506-198214,0-0
208,1,555,1,10155,185,3,27.52,17000,Bothways,Before Milepost 27.56 A: LEFT WYE CONNECTION NE PENINSULA PL,NO ERROR,17442.0614,4331,2,0,0,3749,112966,5019.823771,3749-112966,0-0
209,1,481,1,10218,3210,169,11.45,18000,Bothways,"After Milepost 11.44 A: RIGHT INTERSECTION KENT KANGLEY RD,  LEFT INTERSECTION SR 516",NO ERROR,18034.98066,248147,2,0,0,131095,3898,706.5035307,131095-3898,0-0
210,1,280,1,10268,6751,099P103180,0.112,14000,North Bound,On P1 RAMP (SR 99 NB TO WESTERN AVE) After LEFT INTERSECTION SR 99 NB,NO ERROR,20036.19653,42903,0,0,0,84747,84546,439.1960051,84747-84546,0-0
211,1,274,1,10322,2090,99,32.05,33000,Bothways,"Before Milepost 38.32 A: LEFT INTERSECTION N 102ND ST,  BOTHWAYS UNDERCROSSING PED XING",NO ERROR,27666.78452,22344,2,0,0,64023,64139,264.1954064,64023-64139,0-0
212,1,405,1,10354,7422,522S102251,0.14,5700,West Bound,On S1 RAMP (164TH ST TO SR 522 WB) After RIGHT WYE CONNECTION 164TH ST,NO ERROR,7976.715027,219251,0,0,0,37699,38227,1423.042082,37699-38227,0-0
213,1,391,1,10368,33,2,1,73000,Bothways,Before Milepost 0.88 A: LEFT CENTER ON RAMP EBEY ISLAND,NO ERROR,83440.89795,221379,0,0,0,21664,184339,1008.403742,21664-184339,0-0
214,1,475,1,10680,738,18,16.63,28000,Bothways,"After Milepost 16.09 A: RIGHT ON RAMP SE 231ST ST,  LEFT OFF RAMP SE 231ST ST",NO ERROR,36580.5083,8706,0,0,0,124257,122655,4674.870482,124257-122655,0-0
215,1,475,1,10681,738,18,16.63,28000,Bothways,"After Milepost 16.09 A: RIGHT ON RAMP SE 231ST ST,  LEFT OFF RAMP SE 231ST ST",NO ERROR,36580.5083,220337,0,0,0,183894,124326,4796.464043,183894-124326,0-0
216,1,94,1,10718,4400,512,7.77,80000,Bothways,Before Milepost 7.78 A: LEFT ON RAMP 94TH AVE E,NO ERROR,90281.3501,7724,0,0,0,166913,166983,3957.349462,166913-166983,0-0
217,1,95,1,10719,4504,512,9.35,86000,Bothways,After Milepost 9.34 A: RIGHT ON RAMP SR 161,NO ERROR,87812.68115,7748,0,0,0,163340,165069,3170.133077,163340-165069,0-0
218,1,676,1,10722,6897,167R101098,0.216,5800,South Bound,On R1 RAMP (SR 167 SB TO 8TH ST E) After LEFT INTERSECTION SR 167 SB,NO ERROR,5380.392761,209629,0,0,0,149580,150346,1503.472064,149580-150346,0-0
219,1,673,1,10726,6846,167Q101115,0.108,7000,North Bound,On Q1 RAMP (8TH ST E TO SR 167 NB) After RIGHT WYE CONNECTION LX01066,NO ERROR,5750.05011,217031,0,0,0,150440,149257,2373.820527,150440-149257,0-0
220,1,432,1,10750,6355,090P102537,0.216,9500,East Bound,On P1 RAMP (SR 90 EB TO SR 18) After LEFT INTERSECTION SR 90 EB,NO ERROR,13207.34851,8691,0,0,0,108319,108230,1313.057649,108319-108230,0-0
221,1,435,1,10753,6559,090R102597,0.216,8800,West Bound,On R1 RAMP (SR 90 WB TO ECHO GLEN RD) After LEFT INTERSECTION SR 90 WB,NO ERROR,7407.639038,216170,0,0,0,107989,107945,912.0543816,107989-107945,0-0
222,1,75,1,10847,729,5,198.95,141000,Bothways,Before Milepost 198.90 A: RIGHT OFF RAMP SR 528,NO ERROR,116496.6333,8310,0,0,0,17278,17228,380.4462896,17278-17228,0-0
223,1,279,1,10858,6741,099Q103203,0.012,2800,North Bound,On Q1 RAMP (BELL ST TO SR 99 NB) After BOTHWAYS INTERSECTION WESTERN AVE-BELL ST,NO ERROR,7452.680969,5948,0,0,0,84546,84260,477.8304472,84546-84260,0-0
224,1,608,1,10861,2339,99,23.61,73000,Bothways,"Before Milepost 29.88 A: LEFT INTERSECTION SR 99 COVIADCT (COUPLET),  DECREASING MISCELLANEOUS FEATURE COUPLET - COVIADCT",NO ERROR,103648.8752,6250,0,0,0,89862,91400,2275.03104,89862-91400,0-0
225,1,608,1,10862,2339,99,23.61,73000,Bothways,"Before Milepost 29.88 A: LEFT INTERSECTION SR 99 COVIADCT (COUPLET),  DECREASING MISCELLANEOUS FEATURE COUPLET - COVIADCT",NO ERROR,103648.8752,6251,0,0,0,91402,89865,2275.309628,91402-89865,0-0
226,1,448,2,10874,2647,90,31.95,34000,Bothways,At Milepost 33.56 A: PTR LOCATION R039,NO ERROR,18653.40137,7209,0,0,0,114189,115398,8792.354726,114189-115398,0-0
227,1,90,1,10875,182,5,123.12,135000,Bothways,After Milepost 123.05 A: RIGHT ON RAMP BERKELEY ST,NO ERROR,60582.07422,9281,0,0,0,172213,171811,2068.70151,172213-171811,0-0
228,1,20,2,10895,556,5,214.65,56000,Bothways,Before Milepost 214.61 A: LEFT ON RAMP 300TH ST NW,NO ERROR,54830.47363,8274,0,0,0,6822,5275,10908.29447,6822-5275,0-0
229,1,270,1,10924,2513,99,36.97,30000,Bothways,Before Milepost 43.24 A: BOTHWAYS INTERSECTION N 200TH ST,NO ERROR,23503.84775,9970,2,0,0,51023,51206,339.5407611,51023-51206,0-0
230,1,275,1,11121,2503,99,31.19,36000,Bothways,Before Milepost 37.46 A: BOTHWAYS INTERSECTION N 85TH ST,NO ERROR,32289.12305,24885,2,0,0,66542,66405,265.0358706,66542-66405,0-0
231,1,10,1,11840,4,515,7.75,11000,South Bound,After Milepost 7.70 A: BOTHWAYS INTERSECTION SR 900 E BND,NO ERROR,2534.911087,67302,0,0,0,112146,112453,561.3622791,112146-112453,0-0
232,1,599,1,12036,1955,99,6.4,29000,Bothways,After Milepost 10.04 A: RIGHT INTERSECTION S 318TH PL,NO ERROR,21076.86697,90032,2,194886,195288,138129,137601,1094.733688,138129-137601,194886-195288
