OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,ID,SRID,ARM,Year_2010,Direction_,Location,LOC_ERROR,estimated,PSRCEdgeID,Oneway,HOV_I,HOV_J,NewINode,NewJNode,Shape_Length,key,key_hov
28,1,536,1,2535,3673,303,1.61,35000,Bothways,"Before Milepost 1.46 A: RIGHT INTERSECTION OLD SR 303 SPUR MANETT,  LEFT INTERSECTION SHERIDAN RD",NO ERROR,21709.29803,208589,2,0,0,88799,88478,631.8627289,88799-88478,0-0
29,1,61,1,2647,7582,005LX20247,0.065,20000,Bothways,"On LX RAMP (116TH ST NE) After RIGHT OFF RAMP S120206,  LEFT ON RAMP R120273",NO ERROR,18819.88617,214656,2,0,0,13346,13355,316.8483702,13346-13355,0-0
30,1,286,1,2651,2855,104,25.12,9600,Bothways,After Milepost 25.15 A: LEFT WYE CONNECTION SR 524 SPUR,NO ERROR,9732.636444,214677,2,0,0,45124,45256,195.5858106,45124-45256,0-0
31,1,646,1,2672,3014,162,0.82,18000,Bothways,"Before Milepost 3.21 A: RIGHT INTERSECTION PIONEER WAY E,  LEFT INTERSECTION BOWMAN HILTON RD E",NO ERROR,17799.83862,210798,2,0,0,162551,161890,1340.814925,162551-161890,0-0
32,1,285,1,2791,2856,104,25.07,10000,Bothways,Before Milepost 25.12 A: RIGHT WYE CONNECTION PINE ST,NO ERROR,7551.508942,213962,2,0,0,45124,44429,1187.577179,45124-44429,0-0
33,1,292,1,2833,2845,104,27.47,20000,Bothways,After Milepost 27.58 A: LEFT WYE CONNECTION 238TH ST SW,NO ERROR,23880.61224,214278,2,0,0,49278,49488,643.8308875,49278-49488,0-0
34,1,345,1,3106,3421,202,18.24,7400,Bothways,After Milepost 18.25 A: RIGHT INTERSECTION 292ND AVE SE,NO ERROR,7531.036896,204710,2,0,0,90400,91905,3388.166864,90400-91905,0-0
35,1,426,1,3176,6647,090S102212,0.082,6400,West Bound,On S1 RAMP (SE 82ND ST TO SR 90 WB) After BOTHWAYS INTERSECTION LX02252-SE 82ND ST,NO ERROR,10234.89655,6811,0,0,0,104883,104623,728.934426,104883-104623,0-0
36,1,441,1,3181,6558,090R103091,0.256,3700,West Bound,On R1 RAMP (SR 90 WB TO SR 202) After LEFT INTERSECTION SR 90 WB,NO ERROR,3784.487366,9078,0,0,0,111882,111508,801.4322253,111882-111508,0-0
37,1,438,1,3182,6643,090S103023,0.07,6200,West Bound,On S1 RAMP (SR 202 TO SR 90 WB) After BOTHWAYS INTERSECTION SR 202,NO ERROR,9228.104919,9079,0,0,0,111508,111440,536.1419177,111508-111440,0-0
38,1,698,1,3183,6853,167P101934,0.232,15000,North Bound,On P1 RAMP (SR 167 NB TO SR 516) After LEFT INTERSECTION SR 167 NB,NO ERROR,18527.42358,9174,0,0,0,128055,127502,1086.774684,128055-127502,0-0
39,1,68,1,3205,5903,005S120018,0.12,13000,South Bound,"On S1 RAMP (88TH ST NE TO SR 5 SB) After RIGHT INTERSECTION 88TH ST NE,  LEFT INTERSECTION LX20078",NO ERROR,14802.58508,193144,0,0,0,14920,15217,1218.925555,14920-15217,0-0
40,1,40,1,3206,5900,005S120837,0.068,7900,South Bound,On S1 RAMP (PIONEER HWY E TO SR 5 SB) After BOTHWAYS INTERSECTION LX20867-PIONEER HWY E,NO ERROR,3633.279327,193147,0,0,0,8797,8920,1203.769406,8797-8920,0-0
41,1,39,1,3207,5757,005R120889,0.152,4800,South Bound,On R1 RAMP (SR 5 SB TO PIONEER HWY E) After LEFT INTERSECTION SR 5 SB,NO ERROR,2446.941376,193148,0,0,0,8666,8797,845.2357143,8666-8797,0-0
42,1,453,1,3228,6556,090R103500,0.28,920,West Bound,On R1 RAMP (SR 90 WB TO 468TH AVE SE) After LEFT INTERSECTION SR 90 WB,NO ERROR,441.5701647,206481,0,0,0,115736,115463,1272.867522,115736-115463,0-0
43,1,712,1,3229,6889,167R102473,0.12,12000,South Bound,On R1 RAMP (SR 167 SB TO E VALLEY RD) After LEFT INTERSECTION SR 167 SB,NO ERROR,8439.206543,206633,0,0,0,117746,117860,601.0750476,117746-117860,0-0
44,1,710,1,3230,6902,167Q102504,0.132,11000,North Bound,On Q1 RAMP (S 180TH ST TO SR 167 NB) After RIGHT WYE CONNECTION S 180TH ST,NO ERROR,13968.62878,206672,0,0,0,118201,117747,1328.089153,118201-117747,0-0
45,1,702,1,3231,6891,167R102166,0.224,9900,South Bound,On R1 RAMP (SR 167 SB TO 84TH AVE SE) After LEFT INTERSECTION SR 167 SB,NO ERROR,11137.35022,206912,0,0,0,123454,123644,955.597821,123454-123644,0-0
46,1,693,1,3232,6840,167Q101845,0.106,9500,North Bound,On Q1 RAMP (S 277TH ST TO SR 167 NB) After BOTHWAYS INTERSECTION LX01793-S 277TH ST,NO ERROR,7692.293579,207146,0,0,0,132046,131272,1608.374787,132046-131272,0-0
47,1,690,1,3233,6854,167P101767,0.216,6900,North Bound,On P1 RAMP (SR 167 NB TO S 277TH ST) After LEFT INTERSECTION SR 167 NB,NO ERROR,8075.591003,207147,0,0,0,132590,132046,1358.236894,132590-132046,0-0
48,1,680,1,3243,6896,167R101262,0.256,4000,South Bound,On R1 RAMP (SR 167 SB TO ELINGSON RD) After LEFT INTERSECTION SR 167 SB,NO ERROR,5457.981384,216523,0,0,0,145832,146292,1066.88887,145832-146292,0-0
49,1,82,1,3250,5348,005P119449,0.232,10000,North Bound,On P1 RAMP (SR 5 NB TO GRAND AVE) After LEFT INTERSECTION SR 5 NB,NO ERROR,11221.41229,219348,0,0,0,20597,20545,344.5646788,20597-20545,0-0
50,1,72,1,3252,5761,005R119939,0.192,7400,South Bound,On R1 RAMP (SR 5 SB TO 4TH ST) After LEFT INTERSECTION SR 5 SB,NO ERROR,6284.364594,219351,0,0,0,16686,16893,834.8682771,16686-16893,0-0
51,1,444,1,3262,6557,090R103287,0.192,550,West Bound,On R1 RAMP (SR 90 WB TO 436TH AVE SE) After LEFT INTERSECTION SR 90 WB,NO ERROR,1321.205467,218890,0,0,0,114124,114064,734.2275812,114124-114064,0-0
52,1,26,1,3265,5898,005S121226,0.108,9800,South Bound,On S1 RAMP (SR 532 TO SR 5 SB) After RIGHT WYE CONNECTION SR 532,NO ERROR,6051.296326,219279,0,0,0,6936,7018,763.5673475,6936-7018,0-0
53,1,59,1,3269,5902,005S120206,0.084,13000,South Bound,On S1 RAMP (116TH ST NE TO SR 5 SB) After BOTHWAYS INTERSECTION LX20247-116TH ST NE,NO ERROR,9849.537354,219293,0,0,0,13368,13476,862.263085,13368-13476,0-0
54,1,58,1,3277,5547,005Q120287,0.084,6100,North Bound,On Q1 RAMP (116TH ST NE TO SR 5 NB) After BOTHWAYS INTERSECTION LX20247-116TH ST NE,NO ERROR,6685.992249,219416,0,0,0,13347,13260,634.5496574,13347-13260,0-0
55,1,3,1,3283,5285,005P111641,0.24,270,North Bound,On P1 RAMP (SR 5 NB TO MOUNTS RD) After LEFT INTERSECTION SR 5 NB,NO ERROR,4215.379883,151061,0,0,0,176691,176629,1664.81491,176691-176629,0-0
56,1,4,1,3285,5841,005S111642,0.052,430,South Bound,On S1 RAMP (MOUNTS RD TO SR 5 SB) After BOTHWAYS INTERSECTION LX11670-MOUNTS RD,NO ERROR,4102.820129,121386,0,0,0,176557,176609,1097.024692,176557-176609,0-0
57,1,711,1,3342,6876,167S102408,0.11,10000,South Bound,On S1 RAMP (E VALLEY RD TO SR 167 SB) After BOTHWAYS INTERSECTION EAST VALLEY RD,NO ERROR,11036.0863,206632,0,0,0,117860,118035,710.7556872,117860-118035,0-0
58,1,709,1,3343,6850,167P102408,0.288,11000,North Bound,On P1 RAMP (SR 167 NB TO S 180TH ST) After LEFT INTERSECTION SR 167 NB,NO ERROR,13572.95398,206670,0,0,0,118632,118201,1253.02727,118632-118201,0-0
59,1,704,1,3344,6890,167R102264,0.192,11000,South Bound,On R1 RAMP (SR 167 SB TO S 212TH ST) After LEFT INTERSECTION SR 167 SB,NO ERROR,13584.86218,206835,0,0,0,121652,121847,635.7801606,121652-121847,0-0
60,1,705,1,3345,6877,167S102191,0.098,9200,South Bound,On S1 RAMP (S 212TH ST TO SR 167 SB) After BOTHWAYS INTERSECTION LX02240,NO ERROR,10579.90802,206833,0,0,0,121847,122186,992.9416346,121847-122186,0-0
61,1,701,1,3346,6852,167P102110,0.136,4800,North Bound,On P1 RAMP (SR 167 NB TO N CNTRL AVE) After LEFT INTERSECTION SR 167 NB,NO ERROR,14129.76624,216371,0,0,0,124065,123880,805.1952499,124065-123880,0-0
62,1,700,1,3347,6878,167S102109,0.056,6300,South Bound,On S1 RAMP (84TH AVE SE TO SR 167 SB) After BOTHWAYS INTERSECTION LX02131-84TH AVE S,NO ERROR,11778.95361,206910,0,0,0,123644,123991,1024.691633,123644-123991,0-0
63,1,695,1,3348,6892,167R101989,0.224,6900,South Bound,On R1 RAMP (SR 167 SB TO SR 516) After LEFT INTERSECTION SR 167 SB,NO ERROR,11144.47192,7450,0,0,0,126970,127493,1124.957595,126970-127493,0-0
64,1,697,1,3349,6839,167Q102014,0.108,5600,North Bound,On Q1 RAMP (SR 516 TO SR 167 NB) After BOTHWAYS INTERSECTION SR 516,NO ERROR,13703.58801,9169,0,0,0,127502,127116,851.2335778,127502-127116,0-0
65,1,696,1,3350,6879,167S101913,0.108,13000,South Bound,On S1 RAMP (SR 516 TO SR 167 SB) After RIGHT WYE CONNECTION SR 516,NO ERROR,18251.7627,7463,0,0,0,127493,128071,1164.706655,127493-128071,0-0
66,1,692,1,3351,6880,167S101743,0.102,6500,South Bound,On S1 RAMP (S 277TH ST TO SR 167 SB) After BOTHWAYS INTERSECTION LX01793-S 277TH ST,NO ERROR,7227.253815,207140,0,0,0,132038,132616,1421.758023,132038-132616,0-0
67,1,691,1,3352,6893,167R101822,0.24,9100,South Bound,On R1 RAMP (SR 167 SB TO S 277TH ST) After LEFT INTERSECTION SR 167 SB,NO ERROR,11709.38538,207141,0,0,0,131619,132038,999.0046369,131619-132038,0-0
68,1,406,1,3360,7434,522P102293,0.232,6000,East Bound,On P1 RAMP (SR 522 EB TO 164TH ST) After LEFT INTERSECTION SR 522 EB,NO ERROR,9558.972717,219247,0,0,0,37888,37745,856.4687123,37888-37745,0-0
69,1,408,1,3364,7432,522Q102365,0.086,1000,East Bound,On Q1 RAMP (164TH ST TO SR 522 EB) After BOTHWAYS ROUNDABOUT LX02315,NO ERROR,687.6319885,219362,0,0,0,37603,37252,1115.930612,37603-37252,0-0
70,1,41,1,3372,5343,005P120846,0.152,8200,North Bound,On P1 RAMP (SR 5 NB TO SR 530) After LEFT INTERSECTION SR 5 NB,NO ERROR,4081.479477,214749,0,0,0,8917,8795,887.3811212,8917-8795,0-0
71,1,35,1,3373,5342,005P121005,0.208,3100,North Bound,On P1 RAMP (SR 5 NB TO 236TH ST NE) After LEFT INTERSECTION SR 5 NB,NO ERROR,2827.881935,214756,0,0,0,7997,7879,1465.460065,7997-7879,0-0
72,1,30,1,3375,5544,005Q121079,0.124,990,North Bound,On Q1 RAMP (236TH ST NE TO SR 5 NB) After RIGHT WYE CONNECTION 236TH ST NE,NO ERROR,1729.970016,219285,0,0,0,7852,7744,1130.694659,7852-7744,0-0
73,1,34,1,3376,5899,005S120990,0.104,3000,South Bound,On S1 RAMP (236TH ST NE TO SR 5 SB) After RIGHT WYE CONNECTION 236TH ST NE,NO ERROR,3002.048706,219288,0,0,0,7890,7940,714.4041069,7890-7940,0-0
74,1,25,1,3379,5341,005P121237,0.208,9400,North Bound,On P1 RAMP (SR 5 NB TO 268TH ST NE) After LEFT INTERSECTION SR 5 NB,NO ERROR,6455.822632,218149,0,0,0,7022,6918,699.2856295,7022-6918,0-0
75,1,22,1,3382,5543,005Q121308,0.11,1000,North Bound,On Q1 RAMP (268TH ST NE TO SR 5 NB) After RIGHT WYE CONNECTION 268TH ST NE,NO ERROR,2291.113159,219282,0,0,0,6903,6822,782.7485015,6903-6822,0-0
76,1,18,1,3383,5340,005P121480,0.192,1400,North Bound,On P1 RAMP (SR 5 NB TO 300TH ST NW) After LEFT INTERSECTION SR 5 NB,NO ERROR,2166.458763,214870,0,0,0,5275,5110,862.3589025,5275-5110,0-0
77,0,27,1,3384,27,,0,0,,,,0,214871,0,0,0,5110,4991,1199.254364,5110-4991,0-0
78,1,520,1,3402,6064,016P101046,0.248,8400,North Bound,On P1 RAMP (SR 16 WB TO OLYMPC DR NW) After LEFT INTERSECTION SR 16 WB,NO ERROR,6686.242371,152387,0,0,0,140160,139302,1525.376005,140160-139302,0-0
79,1,517,1,3403,6117,016Q101119,0.09,7500,North Bound,"On Q1 RAMP (OLYMPC DR NW TO SR 16 WB) After RIGHT INTERSECTION OLYMPIC DR NW,  LEFT INTERSECTION LX01074",NO ERROR,4120.420013,152385,0,0,0,139302,138574,1565.678638,139302-138574,0-0
80,1,519,1,3404,6094,016S101028,0.096,7500,South Bound,On S1 RAMP (OLYMPC DR NW TO SR 16 EB) After RIGHT WYE CONNECTION OLYMPIC DR NW,NO ERROR,5382.189545,211472,0,0,0,139609,140420,1807.297863,139609-140420,0-0
81,1,518,1,3405,6106,016R101102,0.256,6700,South Bound,On R1 RAMP (SR 16 EB TO OLYMPC DR NW) After LEFT INTERSECTION SR 16 EB,NO ERROR,4476.153229,211471,0,0,0,138693,139609,1584.94712,138693-139609,0-0
82,1,524,1,3409,6062,016P101456,0.224,8300,North Bound,On P1 RAMP (SR 16 WB TO BURNHM DR NW) After LEFT INTERSECTION SR 16 WB,NO ERROR,6855.464905,218336,0,0,0,130932,130213,1405.627457,130932-130213,0-0
83,1,521,1,3411,6116,016Q101536,0.106,6700,North Bound,On Q1 RAMP (BURNHM DR NW TO SR 16 WB) After BOTHWAYS ROUNDABOUT LX01486,NO ERROR,5172.441223,210502,0,0,0,130184,129358,1984.294907,130184-129358,0-0
84,1,523,1,3412,6093,016S101436,0.106,7300,South Bound,On S1 RAMP (BURNHM DR NW TO SR 16 EB) After BOTHWAYS ROUNDABOUT LX01486,NO ERROR,6535.62738,216890,0,0,0,130131,131029,1933.94082,130131-131029,0-0
