PARKNAME,OWNER,SHAPE_Area,PSRC_ID,BKRCastTAZ,COUNTY
Dockton Forest,King County Parks and Recreation,5649463.91,911621,1337,King
Lower Shinglemill Salmon Preserve,Vashon PRSD,878904.3648,822661,1337,King
Paradise Ridge Park,Vashon PRSD,1891025.708,756571,1337,King
Black Diamond Bridge Site,Washington State Parks,15292593.59,872734,1317,King
Village Square Park,City of Auburn,42524.93602,731912,1317,King
Riversands Park,City of Auburn,74262.32359,1214566,1325,King
Henrys Ridge Open Space,King County Parks and Recreation,10747097.52,1046229,1317,King
Palmer Jellum Connection,Washington State Parks,10490355.23,732069,1311,King
Tanner Trail,City of North Bend,100911.8134,733381,1306,King
Glenn Nelson Park,City of Kent,395503.5348,889511,1325,King
Shinglemill Creek Natural Area,King County Parks and Recreation,3016667.98,814253,1337,King
Shaughnessy Park,City of Auburn,150216.0239,838801,1325,King
Rhubarb Park,City of Pacific,19665.36242,922788,1325,King
Mud Mountain Dam Recreation Area,Other Federal,622961.7848,725905,1311,King
Big Bend Natural Area,King County Parks and Recreation,4612703.661,862636,1312,King
Wax Orchard Site,King County Parks and Recreation,4826908.879,767621,1337,King
Horsehead Bend Natural Area,King County Parks and Recreation,1520557.745,918125,1325,King
Ravensdale Retreat Natural Area,King County Parks and Recreation,6343494.164,923780,1317,King
Kiwanis Park #4,City of Kent,29802.89267,818970,1325,King
Les Gove Park,City of Auburn,1148168.615,821634,1325,King
Manzanita Natural Area,King County Parks and Recreation,1187683.163,923674,1337,King
Cougar Mountain Regional Wildland Park,King County Parks and Recreation,145413889.8,974399,643,King
Hanging Gardens Site,Washington State Parks,15633697.5,821930,1317,King
Fenster Nature Park,City of Auburn,597585.6569,801712,1325,King
Aspen Park,City of Pacific,10407.505,1111451,1325,King
Auburn Narrows Natural Area,King County Parks and Recreation,4731627.136,801887,1317,King
Three Forks Natural Area - Snoqualmie,City of Snoqualmie,9106327.231,943814,1306,King
Centennial Viewpoint Park,City of Auburn,21605.79512,775089,1325,King
Lakeland North Urban Nature Park,King County Parks and Recreation,958865.3877,738804,1325,King
Flaming Geyser Park,King County Parks and Recreation,4545089.023,889372,1317,King
North Green River Park,King County Parks and Recreation,5833421.14,918125,1325,King
Brannan Park,City of Auburn,1200066.205,673359,1325,King
Fell Hill Park,City of Enumclaw,601983.0782,712134,1311,King
Lake Sawyer Regional Park,City of Black Diamond,6228688.343,738911,1317,King
Ellenson Park,City of Enumclaw,121931.6114,821475,1317,King
Evergreen Park - Auburn,City of Auburn,118868.981,991979,1325,King
Keevie Lake Natural Area,King County Parks and Recreation,2764441.212,795085,1317,King
Paradise Valley Natural Area,King County Parks and Recreation,205756.255,719713,1337,King
Lake Killarney Open Space,City of Federal Way,445139.3899,849488,1325,King
South County Ballfields,King County Parks and Recreation,1069098.027,983106,1325,King
McFarland Park,City of Enumclaw,239820.6349,1071777,1317,King
Jenson Point Park,Vashon PRSD,179709.8113,763466,1337,King
Mahler Park,City of Enumclaw,1221499.165,849241,1317,King
Marjorie R. Stanley Natural Area,King County Parks and Recreation,765782.7247,719701,1337,King
Five Mile Lake Park,King County Parks and Recreation,1390516.978,981566,1325,King
Neill Point Natural Area,King County Parks and Recreation,2556358.495,680585,1337,King
Raabs Lagoon Natural Area,King County Parks and Recreation,766143.1244,795117,1337,King
Mukai Barreling Plant,King County Parks and Recreation,81884.35105,923834,1337,King
Little Si Natural Area,King County Parks and Recreation,1236835.568,740316,1306,King
City Hall Park - Enumclaw,City of Enumclaw,39835.73829,1093966,1317,King
Meadowbrook Farm,City of Snoqualmie,19289388.71,708113,1306,King
Hatchery Natural Area,King County Parks and Recreation,2162785.955,795017,1317,King
Auburn Golf Course Open Space,City of Auburn,1783628.719,707076,1325,King
Dockton Park,King County Parks and Recreation,961333.9477,836031,1337,King
Mill Pond Park,City of Auburn,352161.6896,1104880,1325,King
Terminal Park,City of Auburn,53919.02395,1207794,1325,King
Camelot Park,King County Parks and Recreation,787493.291,695475,1325,King
Torguson Park,City of North Bend,926312.0594,740263,1306,King
Covington Natural Area,King County Parks and Recreation,2432384.596,1131200,1317,King
Strawberry Park,City of Pacific,22455.62916,1101514,1325,King
Pine Tree Park,City of Kent,421888.5092,930632,1325,King
Iron Horse State Park,Washington State Parks,89470254.77,931881,1311,King
Lake Fenwick Park,City of Kent,6074421.758,889569,1325,King
Wingehaven Park,Vashon PRSD,749463.9976,720296,1337,King
Si View Park and Community Center,Si View Metropolitan Park District,471070.6305,733358,1306,King
Auburndale Two Park,City of Auburn,400125.7022,1178803,1325,King
Lakeland Hills Park,City of Auburn,220606.1713,1019674,1325,King
Volunteer Park - Pacific,City of Pacific,128074.73,972594,1325,King
Bass Lake Complex Natural Area,King County Parks and Recreation,26203542.31,965104,1317,King
Squak Mountain State Park,Washington State Parks,69303226.15,733320,1308,King
Landsburg Park - Seattle,City of Seattle,199491.3181,822532,1312,King
Landsburg Reach Natural Area,King County Parks and Recreation,4297921.124,862628,1312,King
104th Avenue SE Park,City of Auburn,607412.8105,946950,1317,King
Fred V. Habenicht Rotary Park,King County Parks and Recreation,213283.7065,732492,1312,King
Fisher Pond,Vashon PRSD,6279054.536,873208,1337,King
Kanaskat Natural Area,King County Parks and Recreation,8615323.6,756486,1311,King
Jacobsen Tree Farm,City of Auburn,1247916.411,700782,1325,King
Village Green,Vashon PRSD,15451.14396,918447,1337,King
Game Farm Park,Washington State Parks,3805789.527,911390,1325,King
Indian Tom Park,City of Auburn,19103.55861,812838,1325,King
Tollgate Farm - North Bend,City of North Bend,8911038.686,701915,1306,King
Ballard Park,City of Auburn,27516.71541,1143455,1325,King
Alpine Lakes Wilderness,US Forest Service,6402173360,749307,1306,King
GSA Park,City of Auburn,243839.9195,862010,1325,King
Mill Creek Earthworks Park,City of Kent,4937662.058,822290,1325,King
Eagle Creek Park,City of Black Diamond,18902.2329,842634,1317,King
Cedar Lanes Park,City of Auburn,367510.1131,917696,1325,King
Flensted Park,City of Enumclaw,110817.6209,878669,1317,King
Auburn Environmental Park,City of Auburn,8183097.097,756145,1325,King
Edgeview Park,City of Auburn,35052.44886,1138907,1325,King
Whispering Firs Bog,Vashon PRSD,78261.9908,833155,1337,King
Spring Beach Natural Area,King County Parks and Recreation,2950170.89,965291,1337,King
Ober Park,Vashon PRSD,234112.8167,912378,1337,King
Green River Natural Area,King County Parks and Recreation,57942860.21,917952,1317,King
Black Diamond Open Space,King County Parks and Recreation,50670179.7,748166,1317,King
Middle Boise Creek Natural Area,King County Parks and Recreation,304829.4783,917450,1311,King
Little Lake Forest,King County Parks and Recreation,6763535.242,831993,1311,King
Enumclaw Exposition Center,City of Enumclaw,3411068.147,917410,1311,King
Sun Meadows Park,City of Kent,66493.82608,1198239,1325,King
E J Roberts Park,City of North Bend,290495.2421,740240,1306,King
Foster Park,City of Kent,240120.1483,883479,1325,King
Lake Geneva Park,King County Parks and Recreation,818034.19,1041475,1325,King
William Henry Taylor Park,City of North Bend,88192.42102,980904,1306,King
Montgomery Park,City of Enumclaw,71860.98075,1071099,1317,King
Mary Olson Farm,City of Auburn,2929364.732,930579,1325,King
Federation Forest State Park,Washington State Parks,28650157.26,719132,1311,King
Island Center Forest,King County Parks and Recreation,16267247.19,973800,1337,King
Waffle Park,City of Algona,25865.19903,884228,1325,King
Agren Memorial Park,Vashon PRSD,1318320.164,873199,1337,King
Big Spring/Newaukum Creek Natural Area,King County Parks and Recreation,9189227.602,774862,1317,King
Mullen Slough Natural Area,City of Kent,618638.7423,856168,1325,King
Sandy Cove Park,City of Snoqualmie,190737.6125,1172964,1306,King
Flaming Geyser State Park,Washington State Parks,17979077.72,889368,1317,King
Burton Adventure Recreation Center,Vashon School District,403786.6103,813221,1337,King
Taylor Mountain Forest,King County Parks and Recreation,83804242.12,931873,1312,King
Lewis Lake Nature Park,City of Auburn,397120.3106,1243533,1325,King
Lower Newaukum Creek Natural Area,King County Parks and Recreation,7305720.578,942833,1317,King
Enumclaw Park,City of Enumclaw,585459.2355,917410,1311,King
Kanaskat Palmer Recreation Area,Washington State Parks,12596269.88,739001,1311,King
Burton Acres Park,Vashon PRSD,3125180.555,763466,1337,King
Mileta Creek Preserve,Vashon PRSD,642954.1868,838964,1337,King
Frog Holler Forest,King County Parks and Recreation,6537409.738,862246,1337,King
Centennial Fields,City of Snoqualmie,876804.5642,932260,1306,King
Jornada Park,City of Auburn,82358.14054,1243842,1325,King
Forest Glen Natural Area,King County Parks and Recreation,163631.168,973388,1337,King
Porter Levee Natural Area,King County Parks and Recreation,2271462.748,838745,1325,King
Maury Island Marine Park,King County Parks and Recreation,14742691.44,849724,1337,King
Enumclaw Golf Course,City of Enumclaw,8216525.083,917474,1311,King
Pacific City Park,City of Pacific,1104303.718,973181,1325,King
Ginder Creek Site,City of Black Diamond,1196637.632,775359,1317,King
Point Robinson Park,Vashon PRSD,975820.1801,775644,1337,King
Cameron Park,City of Auburn,167804.0142,766225,1317,King
Inspiration Point Natural Area,King County Parks and Recreation,264255.835,872852,1337,King
Summit Park,City of Maple Valley,682708.649,957925,1317,King
Veterans Memorial Park - Enumclaw,City of Enumclaw,78891.34696,859372,1317,King
Whitney Bridge Park,King County Parks and Recreation,2190851.278,901748,1317,King
Olallie State Park,Washington State Parks,7901085.573,943526,1311,King
Ravensdale Park,King County Parks and Recreation,1849893.716,973602,1317,King
Willis Street Greenbelt,City of Kent,163035.1908,1273542,1325,King
Centennial Trail Mitigation Site,,90651.37454,50878,1287,Snohomish
North County Wildlife Area,,435893.4061,37663,1287,Snohomish
Portage Creek Wildlife Area,,1694397.515,21237,1287,Snohomish
Lake Cassidy/Lake Martha Wetlands,,1715026.017,55310,1287,Snohomish
